Table
Títulos Disponibles para Venta ,Valor en Libros ,Intereses ,Valuación ,Valor de Mercado 
Valores gubernamentales ,"176,324 ","1,511 ","3,710 ","181,545 "
Sin restricción ,"23,672 ",174 ,840 ,"24,686 "
BONDES D ,- ,- ,- ,- 
BONDES M ,63 ,o ,1 ,63 
BPA ,- ,- ,- ,- 
BREMS ,"7,778 ",18 ,- ,"7,796 "
Certificados Bursátiles Gubernamental ,"1,153 ",3 ,2 ,"1,158 "
Certificados Bursátiles Municipales ,182 ,4 ,39 ,225 
Certificados Bursátiles Udizados ,- ,- ,- ,- 
CETES ,148 ,- ,(1) ,147 
CETES Especial ,- ,- ,- ,- 
Eurobonos gubernamentales ,"13,243 ",147 ,792 ,"14,182 "
Udibonos ,"1,105 ",2 ,7 ,"1,115 "
Treasury Notes ,- ,- ,- ,- 
Restringidos ,"152,652 ","1,337 ","2,870 ","156,859 "
BONDES D ,"3,028 ",4 ,2 ,"3,034 "
BONDES M ,"2,132 ",29 ,(105) ,"2,057 "
BPA ,"110,432 ",916 ,135 ,"111,483 "
BREMS ,- ,- ,- ,- 
Certificados Bursátiles Gubernamental ,"2,749 ",8 ,(32) ,"2,725 "
Certificados Bursátiles Municipales ,"2,539 ",4 ,23 ,"2,566 "
Certificados Bursátiles Udizados ,- ,- ,- ,- 
CETES ,"2,444 ",- ,(20) ,"2,424 "
CETES Especial ,- ,- ,- ,- 
Eurobonos gubernamentales ,"29,328 ",376 ,"2,867 ","32,570 "
Udibonos ,- ,- ,- ,- 
,,,,
Valores bancarios ,"25,795 ",46 ,31 ,"25,872 "
Sin restricción ,"19,006 ",36 ,24 ,"19,066 "
Aceptaciones Bancarias ,- ,- ,- ,- 
Bonos Bancarios ,- ,- ,- ,- 
Certificados Bursátiles Banca de Desarrollo ,"2,340 ",23 ,(36) ,"2,327 "
Certificados Bursátiles Bancarios ,"1,496 ",4 ,42 ,"1,541 "
Certificados de Depósitos ,"13,359 ",8 ,(3) ,"13,365 "
Notas Estructuradas ,551 ,- ,12 ,563 
Otros títulos bancarios ,"1,260 ",1 ,8 ,"1,270 "
Pagarés ,- ,- ,- ,- 
Con restricción ,"6,789 ",10 ,7 ,"6,806 "
Aceptaciones Bancarias ,- ,- ,- ,- 
Bonos Bancarios ,- ,- ,- ,- 
Certificados Bursátiles Banca de Desarrollo ,- ,- ,- ,- 
Certificados Bursátiles Bancarios ,"6,789 ",10 ,7 ,"6,806 "
Certificados de Depósitos ,- ,- ,- ,- 
Notas Estructuradas ,- ,- ,- ,- 
Otros títulos bancarios ,- ,- ,- ,- 
Pagarés ,- ,- ,- ,- 
Valores privados ,"24,234 ",201 ,(142) ,"24,292 "
Sin restricción ,"21,876 ",186 ,(138) ,"21,925 "
Acciones ,31 ,- ,56 ,87 
Acciones Sociedades de Inversión ,"5,923 ",- ,27 ,"5,950 "
ADRs ,- ,- ,- ,- 
Certificados Bursátiles BORHIS ,77 ,- ,(77) ,o 
Certificados Bursátiles Corporativos ,"6,391 ",27 ,(348) ,"6,069 "
Certificados Bursátiles Fiduciarios ,- ,- ,- ,- 
Eurobonos Privados ,"9,454 ",159 ,205 ,"9,819 "
FIBRAS ,- ,- ,- ,- 
Obligaciones Subordinadas ,- ,- ,- ,- 
Otros títulos bancarios ,- ,- ,- ,- 
Papel Comercial ,- ,- ,- ,- 
Restringidos ,"2,357 ",15 ,(5) ,"2,368 "
Acciones ,- ,- ,- ,- 
Certificados Bursátiles BORHIS ,- ,- ,- ,- 
Certificados Bursátiles Corporativos ,670 ,2 ,5 ,678 
Certificados Bursátiles Fiduciarios ,- ,- ,- ,- 
Eurobonos Privados ,"1,687 ",13 ,(10) ,"1,690 "
Otros títulos bancarios ,- ,- ,- ,- 
Ajuste valor razonable Adq Ixe Banco ,- ,- ,- ,- 
Total ,"226,353 ","1,758 ","3,599 ","231,710 "


