Table
Títulos Conservados al Vencimiento ,Valor en Libros ,Intereses ,Valuación ,Valor de Mercado 
Valores gubernamentales ,"209,949 ",698 ,- ,"210,648 "
Sin restricción ,"194,490 ",598 ,- ,"195,088 "
BONDES D ,- ,- ,- ,- 
BONDES M ,243 ,2 ,- ,245 
BPA ,- ,- ,- ,- 
BREMS ,- ,- ,- ,- 
Certificados Bursátiles Gubernamental ,"1,557 ",22 ,- ,"1,579 "
Certificados Bursátiles Municipales ,"2,182 ",43 ,- ,"2,225 "
Certificados Bursátiles Udizados ,225 ,2 ,- ,227 
CETES ,- ,- ,- ,- 
CETES Especial ,602 ,- ,- ,602 
Eurobonos gubernamentales ,"23,743 ",186 ,- ,"23,929 "
Udibonos ,"165,938 ",343 ,- ,"166,281 "
Treasury Notes ,- ,- ,- ,- 
Restringidos ,"15,459 ",101 ,- ,"15,559 "
BONDES D ,- ,- ,- ,- 
BONDES M ,"12,549 ",90 ,- ,"12,639 "
BPA ,- ,- ,- ,- 
BREMS ,- ,- ,- ,- 
Certificados Bursátiles Gubernamental ,- ,- ,- ,- 
Certificados Bursátiles Municipales ,"2,910 ",11 ,- ,"2,920 "
Certificados Bursátiles Udizados ,- ,- ,- ,- 
CETES ,- ,- ,- ,- 
CETES Especial ,- ,- ,- ,- 
Eurobonos gubernamentales ,- ,- ,- ,- 
Udibonos ,- ,- ,- ,- 
,,,,
Valores bancarios ,"1,011 ",218 ,- ,"1,229 "
Sin restricción ,"1,011 ",218 ,- ,"1,229 "
Aceptaciones Bancarias ,- ,- ,- ,- 
Bonos Bancarios ,- ,- ,- ,- 
Certificados Bursátiles Banca de Desarrollo ,- ,- ,- ,- 
Certificados Bursátiles Bancarios ,831 ,17 ,- ,848 
Certificados de Depósitos ,- ,- ,- ,- 
Notas Estructuradas ,180 ,201 ,- ,381 
Otros títulos bancarios ,- ,- ,- ,- 
Pagarés ,- ,- ,- ,- 
Con restricción ,- ,- ,- ,- 
Aceptaciones Bancarias ,- ,- ,- ,- 
Bonos Bancarios ,- ,- ,- ,- 
Certificados Bursátiles Banca de Desarrollo ,- ,- ,- ,- 
Certificados Bursátiles Bancarios ,- ,- ,- ,- 
Certificados de Depósitos ,- ,- ,- ,- 
Notas Estructuradas ,- ,- ,- ,- 
Otros títulos bancarios ,- ,- ,- ,- 
Pagarés ,- ,- ,- ,- 
Valores privados ,"2,959 ",894 ,- ,"3,852 "
Sin restricción ,"2,959 ",894 ,- ,"3,852 "
Acciones ,- ,- ,- ,- 
Acciones Sociedades de Inversión ,- ,- ,- ,- 
ADRs ,- ,- ,- ,- 
Certificados Bursátiles BORHIS ,2 ,o ,- ,2 
Certificados Bursátiles Corporativos ,989 ,877 ,- ,"1,866 "
Certificados Bursátiles Fiduciarios ,- ,- ,- ,- 
Eurobonos Privados ,700 ,17 ,- ,717 
FIBRAS ,- ,- ,- ,- 
Obligaciones Subordinadas ,- ,- ,- ,- 
Otros títulos bancarios ,"1,268 ",- ,- ,"1,268 "
Papel Comercial ,- ,- ,- ,- 
Restringidos ,- ,- ,- ,- 
Acciones ,- ,- ,- ,- 
Certificados Bursátiles BORHIS ,- ,- ,- ,- 
Certificados Bursátiles Corporativos ,- ,- ,- ,- 
Certificados Bursátiles Fiduciarios ,- ,- ,- ,- 
Eurobonos Privados ,- ,- ,- ,- 
Otros títulos bancarios ,- ,- ,- ,- 
Ajuste valor razonable Adq Ixe Banco ,(347) ,- ,- ,(347) 
Total ,"213,572 ","1,810 ",- ,"215,382 "


