Table
,,2T20 ,,,1T21 ,,,2T21 ,
,Linea ,Dispuesto ,% dispuesto ,Linea ,Dispuesto ,% dispuesto ,Linea ,Dispuesto ,% dispuesto 
Contrapartes Bancarias (Call Money) ,"177,020 ","2,500 ",1.4% ,"219,907 ","2,700 ",1.2% ,"219,412 ","2,447 ",1.1% 
Banxico Reportos p/Liq. al Sistema de Pagos (RSP)* ,"79,886 ",- ,0.0% ,"77,350 ","7,789 ",10.1% ,"77,302 ","8,114 ",10.5% 
Banxico Subasta Financiamiento (MXN + USD)* ,"42,170 ","33,563 ",79.6% ,"54,458 ",- ,0.0% ,"52,027 ",- ,0.0% 
Banxico c/Gtía Tit. Gub. y Banc. (Facilidades Ordinarias)* ,"42,170 ",- ,0.0% ,"54,458 ",- ,0.0% ,"52,027 ",- ,0.0% 
Banxico c/Gtía Créditos GEM (Facilidades Extraordinarias) ,"95,835 ",- ,0.0% ,"87,127 ",- ,0.0% ,"86,641 ",- ,0.0% 
TOTAL ,"437,080 ","36,063 ",8.3% ,"493,300 ","10,489 ",2.1% ,"487,409 ","10,561 ",2.2% 


Table
Resultado por intermediación ,Consolidado 
Resultado por valuación a valor razonable ,(182) 
Títulos para negociar ,(388) 
Derivados con fines de negociación ,213 
Derivados con fines de cobertura ,(7) 
Pérdida por deterioro o incremento por revaluación ,0 
Resultado por valuación de divisas ,125 
Resultado por valuación de metales preciosos o amonedados ,(4) 
Resultado por compraventa de valores e instrumentos financieros derivados ,263 
Títulos para negociar ,(46) 
Títulos disponibles para la venta ,284 
Derivados con fines de cobertura ,(4) 
Resultado por compraventa de divisas ,"1,599 "
Resultado por compraventa de metales precios amonedados ,3 
Total ,"1,804 "


Table
Depósitos Exigibilidad Inmediata ,
Moneda Nacional y UDIs ,1.06% 
Moneda Extranjera ,0.02% 
Depósitos a Largo Plazo - del Público en General ,
Moneda Nacional y UDIs ,3.09% 
Moneda Extranjera ,0.23% 
Depósitos a Largo Plazo - Mesa de Dinero Moneda Nacional y UDIs ,4.36% 
PRESTAMOS DE BANCOS Y OTROS (BANORTE) ,
De Exigibilidad Inmediata ,
Moneda Nacional y UDIs ,4.10% 
Banca de Fomento y Desarrollo ,
Moneda Nacional y UDIs ,6.00% 
Moneda Extranjera ,1.46% 


