Table
Banorte Salidas Netas de Efectivo (Millones de pesos) ,2T21 ,Promedio 2T21 
Salida de Efectivo con Downgrade de 1 Escalón ,0 ,0 
Salida de Efectivo con Downgrade de 2 Escalones ,0 ,0 
Salida de Efectivo con Downgrade de 3 Escalones ,0 ,0 


Table
Posición Casa de Bolsa (Millones de pesos) ,2T21 ,Promedio 2T21 
Swap Tasa de Interés (IRS) ,69 ,23 
Total ,69 ,23 
Valor Razonable Positivo ,77 ,30 
(Valor de Mercado positivo) ,,
Efecto del neteo* ,8 ,3 


Table
Banorte Intervalo de Calificación (Millones de pesos) ,MtM 2T21 ,Promedio 2T21 
AAA/AA- ,0 ,0 
A+/A- ,"(5,923) ","(6,959) "
BBB+/BBB- ,301 ,693 
BB+/BB- ,"3,352 ","4,507 "
B+/B- ,55 ,443 
CCC/C ,0 ,0 
SC ,"2,150 ","3,215 "
Total ,(65) ,"1,899 "


