Table
Capital Básico a marzo 2021 (Millones de pesos) ,"183,236 "
I. Financiamientos cuyo monto individual representa más del 10% del capital básico: ,
Operaciones crediticias ,
Número de financiamientos ,0 
Monto de los financiamientos en su conjunto ,0 
% en relación al capital básico ,0% 
Operaciones en mercado de dinero ,
Número de financiamientos ,0 
Monto de los financiamientos en su conjunto ,0 
% en relación al capital básico ,0% 
Operaciones overnight ,
Número de financiamientos ,0 
Monto de los financiamientos en su conjunto ,0 
% en relación al capital básico ,0% 
II. Monto máximo de financiamiento con los 3 mayores deudores y grupos de riesgo común ,"40,192 "


Table
Capital Contable a marzo 2021 (Millones de pesos) ,"9,409 "
I. Financiamientos cuyo monto individual representa más del 10% del capital contable: ,
Operaciones crediticias ,
Número de financiamientos ,2 
Monto de los financiamientos en su conjunto ,"3,949 "
% en relación al capital contable ,42% 
Operaciones en mercado de dinero ,
Número de financiamientos ,0 
Monto de los financiamientos en su conjunto ,0 
% en relación al capital contable ,0% 
Operaciones overnight ,
Número de financiamientos ,0 
Monto de los financiamientos en su conjunto ,0 
% en relación al capital contable ,0% 
II. Monto máximo de financiamiento con los 3 mayores deudores y grupos de riesgo común ,"5,591 "


