Table
Fuente de Fondeo (Millones de pesos) ,1T21 ,2T21 ,Var vs. 1T21 
Depósitos a la Vista ,,,
Moneda Nacional (1) ,"494,891 ","481,913 ",(2.6%) 
Moneda Extranjera (1) ,"54,610 ","55,533 ",1.7% 
Depósitos a la Vista ,"549,501 ","537,446 ",(2.2%) 
Depósitos a Plazo - Ventanilla ,,,
Moneda Nacional (2) ,"200,679 ","201,069 ",0.2% 
Moneda Extranjera ,"13,244 ","12,750 ",(3.7%) 
Captación Ventanilla ,"763,424 ","751,265 ",(1.6%) 
Mesa de Dinero ,,,
Moneda Nacional (3) ,"41,090 ","32,663 ",(20.5%) 
Moneda Extranjera (3) ,"28,846 ","28,863 ",0.1% 
Captación Integral Sector Banca ,"833,360 ","812,791 ",(2.5%) 


