Table
Institució n ,Tipo de Cotización ,Clasificación Contable ,Tratamiento Capitalización ,Valor Mercado 2T21 ,Plusvalía / Minusvalía Acum. ,Utilidad / Pérdida Ventas / Compras 
Banorte ,Cotización Pública ,Negociación ,Riesgo Mercado ,173.8 ,(6.3) ,0 
Banorte ,Cotización Pública ,Disponibles para la Venta ,Riesgo Mercado ,4.3 ,(11.3) ,0 
Banorte ,Cotización Pública ,Negociación ,Deducción de capital ,267.8 ,167.2 ,0 
Banorte ,Sin Cotización Pública ,Disponibles para la Venta ,Riesgo Mercado y Crédito ,"5,949.9 ",37.7 ,21.1 
,,,Total ,"6,396 ",187.3 ,21.1 


Table
Institución ,Tipo de Cotización ,Clasificación Contable ,Tratamiento Capitalización ,Valor Mercado 2T21 ,Plusvalía / Minusvalía Acum. ,Utilidad / Pérdida Ventas / Compras 
Casa de Bolsa Banorte ,Cotización Pública ,Negociación ,Riesgo Mercado ,616.8 ,370.2 ,(0.4) 
,,,Total ,616.8 ,370.2 ,(0.4) 


