Table
Capitalización (Millones de Pesos) ,3T19 ,2T20 ,3T20 ,Var. 2T20 ,Vs. 3T19 
Capital Fundamental ,"102,861 ","117,627 ","124,312 ",5.7% ,20.9% 
Capital Básico ,"143,514 ","163,806 ","179,672 ",9.7% ,25.2% 
Capital Complementario ,"14,141 ","11,650 ","11,365 ",(2.4%) ,(19.6%) 
Capital Neto ,"157,655 ","175,455 ","191,036 ",8.9% ,21.2% 
Activos con Riesgo Crediticio ,"620,837 ","697,870 ","690,967 ",(1.0%) ,11.3% 
Capital Neto / Activos con Riesgo Crediticio ,25.4% ,25.1% ,27.6% ,2.5 pp ,2.3 pp 
Activos Riesgo Total ,"775,642 ","892,361 ","904,544 ",1.4% ,16.6% 
Capital Fundamental ,13.26% ,13.18% ,13.74% ,0.6 pp ,0.5 pp 
Capital Básico ,18.50% ,18.36% ,19.86% ,1.5 pp ,1.4 pp 
Capital Complementario ,1.82% ,1.31% ,1.26% ,(0.0 pp) ,(0.6 pp) 
Índice de Capitalización ,20.33% ,19.66% ,21.12% ,1.46 pp ,0.79 pp 


