Table
SOFOM y Organizaciones Auxiliares del Crédito (Millones de Pesos) ,3T19 ,2T20 ,3T20 ,Var. 2T20 ,Vs. 3T19 ,9M19 ,9M20 ,Var. Vs. 9M19 
Almacenadora ,,,,,,,,
Utilidad Neta ,8 ,9 ,9 ,(2%) ,5% ,(8) ,27 ,443% 
Capital Contable ,235 ,264 ,273 ,3% ,16% ,235 ,273 ,16% 
Inventarios ,555 ,"1,299 ","1,053 ",(19%) ,90% ,555 ,"1,053 ",90% 
Activo Total ,719 ,"1,526 ","1,255 ",(18%) ,74% ,719 ,"1,255 ",74% 
ROE ,14.3% ,13.6% ,12.9% ,(0.7 pp) ,(1.4 pp) ,(4.6%) ,14.0% ,18.6 pp 
Arrendadoray Factor (antes Sólida ,Administradora ,de Portafolios*) ,,,,,,
Utilidad Neta ,(68) ,(11) ,684 ,N.A. ,N.A. ,(99) ,527 ,633% 
Capital Contable ,"3,083 ","2,855 ","9,220 ",223% ,199% ,"3,083 ","9,220 ",199% 
Cartera Total (1) ,"1,985 ",195 ,"32,594 ",N.A. ,N.A. ,"1,985 ","32,594 ",N.A. 
Cartera Vencida ,88 ,0 ,353 ,N.A. ,302% ,88 ,353 ,302% 
Reservas Crediticias ,151 ,- ,497 ,N.A. ,229% ,151 ,497 ,229% 
Activo Total ,"8,891 ","7,165 ","39,964 ",458% ,349% ,"8,891 ","39,964 ",349% 
ROE ,(8.7%) ,(1.5%) ,45.9% ,47.4 pp ,54.6 pp ,(4.2%) ,15.8% ,20.0 pp 
Fusión Sólida AyF (Ejercicio de fusión en ,la historia) ,,,,,,,
Utilidad Neta ,217 ,234 ,237 ,1% ,9% ,622 ,527 ,(15%) 
Capital Contable ,"8,761 ","9,211 ","9,220 ",0% ,5% ,"8,761 ","9,220 ",5% 
Cartera Total (1) ,"35,320 ","33,248 ","32,594 ",(2%) ,(8%) ,"35,320 ","32,594 ",(8%) 
Cartera Vencida ,432 ,369 ,353 ,(4%) ,(18%) ,432 ,353 ,(18%) 
Índice de Cartera Vencida ,1.3% ,1.3% ,1.2% ,(0.0 pp) ,(0.1 pp) ,1.3% ,1.2% ,(0.1 pp) 
Reservas Crediticias ,553 ,479 ,497 ,4% ,(10%) ,553 ,497 ,(10%) 
Activo Total ,"43,045 ","40,980 ","39,964 ",(2%) ,(7%) ,"43,045 ","39,964 ",(7%) 
ROE ,10.0% ,10.3% ,10.4% ,0.0 pp ,0.0 pp ,9.8% ,7.8% ,(0.2 pp) 
Ixe Servicios ,,,,,,,,
Utilidad Neta ,(0.2) ,(0.5) ,(0.7) ,(44%) ,(289%) ,(0.7) ,(1.4) ,(100%) 
Capital Contable ,137 ,136 ,136 ,(1%) ,(1%) ,137 ,136 ,(1%) 
Activo Total ,137 ,136 ,136 ,(0%) ,(1%) ,137 ,136 ,(1%) 
ROE ,(0.5%) ,(1.5%) ,(2.1%) ,(0.7 pp) ,(1.6 p pp) ,(0.7%) ,(1.4%) ,(0.7 pp) 


