Table
,CAPITAL CONTRIBUIDO ,,,,,,CAPITAL ,GANADO ,,,,
,,,,,,,,,,,,
Saldos al 31 de Diciembre de 2019 ,"14,992 ","47,979 ","6,486 ","90,084 ","1,763 ","(2,246) ",(85) ,77 ,"(1,861) ","36,528 ","2,281 ","195,998 "
Movim. inherentes a las decis. de los accionistas ,,,,,,,,,,,,
Recompra de plan de pagos basado en acciones liquidables en instrumentos de capital ,(91) ,530 ,"(1,903) ",,28 ,,,,,,,"(1,436) "
Aplicación de utilidades ,,,,"36,528 ",,,,,,"(36,528) ",,0 
Creación de Reservas según Asamblea General Ordinaria Anual de Accionistas del día 24 de Abril de 2020 ,,,6 ,(6) ,,,,,,,,0 
Creación de reserva para la recompra de acciones ,,,"4,164 ","(4,164) ",,,,,,,,0 
Total ,(91) ,530 ,"2,267 ","32,358 ",28 ,0 ,0 ,0 ,0 ,"(36,528) ",0 ,"(1,436) "
Movimientos inherentes al reconocimiento de la utilidad integral ,,,,,,,,,,,,
Utilidad Integral: ,,,,,,,,,,,,
Resultado neto ,,,,,,,,,,"24,542 ",,"24,542 "
Resultado por Valuación de títulos disponibles para la venta ,,,,,(20) ,,,,,,,(20) 
"Efecto de subsidiarias ,asociadas ysociedades de inversion ",,,,(317) ,,,,192 ,,,,(125) 
Resultado por valuación de Instrumentos de cobertura de flujos de efectivo ,,,,,,569 ,,,,,,569 
Resultado en la valuación de la reserva de riesgos en curso por variaciones en las tasas ,,,,,,,(105) ,,,,,(105) 
Remediciones por beneficios definidos a los empleados ,,,,,,,,,(99) ,,,(99) 
Intereses de obligaciónes subordinadas ,,,,"(2,391) ",,,,,,,,"(2,391) "
Total ,0 ,0 ,0 ,"(2,708) ",(20) ,569 ,(105) ,192 ,(99) ,"24,542 ",0 ,"22,371 "
Participación no controladora ,,,,,,,,,,,438 ,438 
Saldos al 30 de Septiembre de 2020 ,"14,901 ","48,509 ","8,753 ","119,734 ","1,771 ","(1,677) ",(190) ,269 ,"(1,960) ","24,542 ","2,719 ","217,371 "


