Table
ACTIVOS ,Holding ,Banorte ,Ahorroy Previsión ,Arrendadora y Factor ,Almacenadora ,Casa de Bolsa Banorte 
Disponibilidades ,"2,036 ","99,615 ","4,072 ",143 ,10 ,"2,978 "
Cuentas de Margen ,- ,"16,312 ",- ,- ,- ,- 
Inversiones en Valores ,"11,007 ","234,184 ","187,170 ",- ,- ,"243,410 "
Títulos para negociar ,- ,"36,918 ","30,928 ",- ,- ,"155,906 "
Títulos Disponibles para la venta ,- ,"163,887 ",709 ,- ,- ,"86,703 "
Títulos Conservados a vencimiento ,"11,007 ","33,379 ","155,533 ",- ,- ,801 
Deudores por reporto (saldo deudor) ,- ,"2,297 ","2,157 ",- ,- ,- 
Derivados con fines de negociación ,- ,"53,819 ",- ,- ,- ,- 
Derivados con fines de cobertura ,- ,"1,885 ",- ,- ,- ,- 
Ajustes de valuación por cobertura de activos ,- ,58 ,- ,- ,- ,- 
Cartera de Crédito Total ,- ,"776,830 ",- ,"28,529 ",- ,- 
Cartera de Crédito Neto ,- ,"775,489 ",- ,"28,529 ",- ,- 
Cartera de Crédito Vigente ,- ,"786,350 ",- ,"28,673 ",- ,- 
Créditos Comerciales ,- ,"299,343 ",- ,"25,397 ",- ,- 
Créditos a Entidades Financieras ,- ,"24,763 ",- ,661 ,- ,- 
Créditos a Entidades Gubernamentales ,- ,"161,247 ",- ,"2,608 ",- ,- 
Créditos al Consumo ,- ,"118,314 ",- ,7 ,- ,- 
Créditos a la Vivienda ,- ,"182,685 ",- ,- ,- ,- 
Media y Residencial ,- ,"179,791 ",- ,- ,- ,- 
De interés social ,- ,5 ,- ,- ,- ,- 
Créditos adquiridos al INFONAVIT o FOVISSSTE ,- ,"2,889 ",- ,- ,- ,- 
Cartera de Crédito Vencida ,- ,"6,307 ",- ,353 ,- ,- 
Créditos Comerciales ,- ,"1,864 ",- ,348 ,- ,- 
Créditos a Entidades Financieras ,- ,- ,- ,- ,- ,- 
Créditos a Entidades Gubernamentales ,- ,284 ,- ,4 ,- ,- 
Créditos al Consumo ,- ,"2,349 ",- ,0 ,- ,- 
Créditos a la Vivienda ,- ,"1,811 ",- ,- ,- ,- 
Media y Residencial ,- ,"1,612 ",- ,- ,- ,- 
De interés social ,- ,1 ,- ,- ,- ,- 
Créditos adquiridos al INFONAVIT o FOVISSSTE ,- ,198 ,- ,- ,- ,- 
Prov. Prev. Riesgos Crediticios ,- ,"17,169 ",- ,497 ,- ,- 
Derechos de cobro adquiridos ,- ,"1,341 ",- ,- ,- ,- 
Cuentas por cobrar de Instituciones de Seguros y Pensiones ,- ,- ,"2,591 ",- ,- ,- 
Deudores por Prima (Neto) ,- ,- ,"7,032 ",- ,- ,- 
Ctas por cobrar a reaseguradores y reafianzadores ,- ,- ,"7,924 ",- ,- ,- 
Beneficios por recibir en operaciones de reporto ,- ,151 ,- ,- ,- ,- 
"Otras Cuentas por cobrar, neto ",28 ,"53,442 ",0 ,816 ,113 ,"1,484 "
Inventario de Mercancías ,- ,- ,- ,- ,"1,053 ",- 
Bienes Adjudicados ,- ,722 ,- ,254 ,- ,- 
"Inmueb. Mobiliario y equipo, neto ",- ,"27,277 ",428 ,"3,568 ",57 ,66 
Inversiones permanentes ,"175,425 ",564 ,"13,620 ",73 ,- ,2 
Activos de larga duración disponibles para la venta ,- ,- ,- ,- ,- ,- 
"Impuestos diferidos, neto ",206 ,214 ,- ,"1,070 ",4 ,- 
Total Otros activos ,"25,960 ","10,223 ","2,901 ","5,511 ",18 ,204 
Crédito Mercantil ,"25,329 ","1,435 ",- ,- ,- ,- 
Intangibles ,631 ,"8,676 ","2,806 ",344 ,2 ,20 
Otros activos ,- ,112 ,95 ,"5,167 ",15 ,184 
TOTAL ACTIVOS ,"214,662 ","1,277,593 ","227,895 ","39,964 ","1,255 ","248,144 "


