Table
Estado de Resultados - GFNorte (Millones de Pesos) ,3T19 ,2T20 ,3T20 ,Var. 2T20 ,Vs. 3T19 ,9M19 ,9M20 ,Var. Vs. 9M19 
Ingresos por Intereses ,"37,161 ","32,684 ","33,249 ",2% ,(11%) ,"112,847 ","102,941 ",(9%) 
Gastos por Intereses ,"16,796 ","13,289 ","10,338 ",(22%) ,(38%) ,"53,520 ","38,284 ",(28%) 
Resultado Técnico (Seguros y Pensiones) ,(251) ,"1,288 ","(2,310) ",(279%) ,(821%) ,"1,062 ","(1,405) ",(232%) 
Ingresos de Intereses Netos ,"20,114 ","20,683 ","20,601 ",(0%) ,2% ,"60,390 ","63,252 ",5% 
Comisiones por Servicios Netas ,"3,183 ","3,069 ","3,096 ",1% ,(3%) ,"9,781 ","9,620 ",(2%) 
Intermediación ,"2,303 ","1,703 ","1,128 ",(34%) ,(51%) ,"4,417 ","3,996 ",(10%) 
Otros Ingresos (Egresos) de la Operación ,722 ,"1,140 ",656 ,(42%) ,(9%) ,"3,518 ","2,124 ",(40%) 
Ingresos No Financieros ,"6,208 ","5,911 ","4,880 ",(17%) ,(21%) ,"17,716 ","15,741 ",(11%) 
Ingreso Total ,"26,322 ","26,595 ","25,481 ",(4%) ,(3%) ,"78,106 ","78,992 ",1% 
Gasto No Financiero ,"10,578 ","10,307 ","10,627 ",3% ,0% ,"30,106 ","31,400 ",4% 
Provisiones ,"4,118 ","8,456 ","3,138 ",(63%) ,(24%) ,"11,582 ","15,938 ",38% 
Resultado Neto de Operación ,"11,626 ","7,832 ","11,717 ",50% ,1% ,"36,418 ","31,654 ",(13%) 
Impuestos ,"3,094 ","1,886 ","3,178 ",69% ,3% ,"9,844 ","8,293 ",(16%) 
Participación en el Resultado de Subsidiarias ,451 ,648 ,492 ,(24%) ,9% ,"1,328 ","1,493 ",12% 
Participación no controladora ,(125) ,(75) ,(124) ,(65%) ,1% ,(383) ,(313) ,18% 
Subsidiarias y participación no controladora ,326 ,573 ,368 ,(36%) ,13% ,944 ,"1,180 ",25% 
Utilidad Neta ,"8,858 ","6,518 ","8,906 ",37% ,1% ,"27,518 ","24,542 ",(11%) 


Table
Balance General GFNorte (Millones de Pesos) ,3T19 ,2T20 ,3T20 ,Var. 2T20 ,Vs. 3T19 
Activos en Administración ,"2,815,927 ","2,878,778 ","2,981,568 ",4% ,6% 
Cartera Vigente (a) ,"732,726 ","791,637 ","798,478 ",1% ,9% 
Cartera Vencida (b) ,"14,357 ","9,254 ","6,660 ",(28%) ,(54%) 
Cartera de Crédito (a+b) ,"747,084 ","800,891 ","805,138 ",1% ,8% 
Total de Cartera de Crédito Neto (d) ,"728,913 ","782,337 ","787,473 ",1% ,8% 
Derechos de Cobro Adquiridos ( e) ,"1,905 ","1,438 ","1,341 ",(7%) ,(30%) 
Total de Cartera de Crédito (d+e) ,"730,818 ","783,774 ","788,814 ",1% ,8% 
Activo Total ,"1,583,651 ","1,783,581 ","1,795,306 ",1% ,13% 
Depósitos Total ,"722,039 ","801,148 ","813,104 ",1% ,13% 
Pasivo Total ,"1,395,973 ","1,575,237 ","1,577,935 ",0% ,13% 
Capital Contable ,"187,678 ","208,344 ","217,371 ",4% ,16% 


Table
Indicadores Financieros GFNorte ,3T19 ,2T20 ,3T20 ,,,9M19 ,9M20 
Rentabilidad: ,,,,,,,
MIN (1) ,5.7% ,5.3% ,5.1% ,,,5.62% ,5.45% 
ROE (2) ,19.6% ,13.0% ,16.9% ,,,20.5% ,16.2% 
ROA (3) ,2.2% ,1.5% ,2.0% ,,,2.3% ,1.9% 
Operación: ,,,,,,,
Índice de Eficiencia (4) ,40.2% ,38.8% ,41.7% ,,,38.5% ,39.8% 
Índice de Eficiencia Operativa (5) ,2.7% ,2.3% ,2.4% ,,,2.5% ,2.4% 
CCL Promedio Banorte y SOFOM - Basilea III (6) ,140.7% ,150.8% ,193.6% ,,,140.7% ,193.6% 
Calidad de Activos: ,,,,,,,
Índice de Cartera Vencida ,1.9% ,1.2% ,0.8% ,,,1.9% ,0.8% 
Índice de Cobertura ,126.6% ,200.5% ,265.2% ,,,126.6% ,265.2% 
Costo de Riesgo (7) ,2.15% ,4.24% ,1.56% ,,,2.00% ,2.68% 
Referencias de Mercado ,,,,,,,
Tasa de Referencia Banxico ,7.75% ,5.00% ,4.25% ,,,7.75% ,4.25% 
TIIE 28 días (Promedio) ,8.35% ,6.07% ,4.99% ,,,8.47% ,6.14% 
Tipo de Cambio Peso/Dólar ,19.73 ,23.09 ,22.14 ,,,19.44 ,22.91 


