Table
Cartera Comercial de Grupo Financiero Banorte ,Empresas bajo Modelo ,Interno Básico ,Millones de pesos 
Nivel de Riesgo ,Saldo Contable ,Exposición al Incumplimiento (EI)* ,PI ponderada por El 
1 ,"56,182 ","56,285 ",0.23% 
2 ,"66,975 ","67,057 ",0.50% 
3 ,"37,831 ","37,897 ",0.76% 
4 ,"11,530 ","11,530 ",1.30% 
5 ,"4,971 ","4,972 ",2.22% 
6 ,"1,188 ","1,188 ",3.81% 
7 ,"1,074 ","1,074 ",10.85% 
8 ,"1,134 ","1,134 ",19.75% 
9 ,218 ,218 ,58.14% 
Incumplimiento ,328 ,328 ,100.00% 
Total ,"181,431 ","181,684 ",1.02% 


Table
Cartera ,Pérdida Esperada Modelos Internos* ,Pérdida Observada ,Diferencia Ps (Pérdida Observada - Pérdida Esperada) ,% Cobertura PNC 
Auto Persona Física ,592 ,631 ,38 ,94% 
Cartera Total ,592 ,631 ,38 ,94% 


