Table
Capital Contable a junio 2020 (Millones de pesos) ,"9,211 "
I. Financiamientos cuyo monto individual representa más del 10% del capital contable: ,
Operaciones crediticias ,
Número de financiamientos ,2 
Monto de los financiamientos en su conjunto ,"2,412 "
% en relación al capital contable ,26% 
Operaciones en mercado de dinero ,
Número de financiamientos ,0 
Monto de los financiamientos en su conjunto ,0 
% en relación al capital contable ,0% 
Operaciones overnight ,
Número de financiamientos ,0 
Monto de los financiamientos en su conjunto ,0 
% en relación al capital contable ,0% 
II. Monto máximo de financiamiento con los 3 mayores deudores y grupos de riesgo común ,"5,828 "


