Table
Institución ,Tipo de Cotización ,Clasificación Contable ,Tratamiento Capitalización ,Valor Mercado 2T20 ,Plusvalía / Minusvalía Acum. ,Utilidad / Pérdida Ventas / Compras 
Banorte ,Cotización Pública ,Negociación ,Riesgo Mercado ,259.9 ,85.5 ,0 
Banorte ,Cotización Pública ,Disponibles para la Venta ,Riesgo Mercado ,0 ,(14.8) ,0 
Banorte ,Cotización Pública ,Negociación ,Deducción de capital ,305.6 ,205.0 ,0 
Banorte ,Sin Cotización Pública ,Disponibles para la Venta ,Riesgo Mercado y Crédito ,921.9 ,19.6 ,15.2 
,,,Total ,"1,487.5 ",295.3 ,15.2 


Table
Institución ,Tipo de Cotización ,Clasificación Contable ,Tratamiento Capitalización ,Valor Mercado 3T20 ,Plusvalía / Minusvalía Acum. ,Utilidad / Pérdida Ventas / Compras 
Casa de Bolsa Banorte ,Cotización Pública ,Negociación ,Riesgo Mercado ,754.4 ,451.6 ,1.8 
,,,Total ,754.4 ,451.6 ,1.8 


