Table
Concepto (Millones de pesos) ,1 día ,7 días ,1 mes ,3 meses ,6 meses ,12 meses 
Brecha Natural ,"(89,081) ","41,865 ","(18,232) ","38,083 ","14,041 ","27,779 "
Brecha Acumulada ,"(89,081) ","(47,217) ","(65,449) ","(27,366) ","(13,325) ","14,454 "


Table
Salidas de Efectivo por Derivados (Millones de pesos) ,3T20 ,4T20 ,Var vs. 3T20 
Salida neta a valor de mercado y por exposición potencial ,"5,343 ","5,822 ",9.0% 
Salidas de Efectivo por Baja de 3 escalafones en calificación crediticia ,0 ,0 ,0.0% 


Table
Concepto (Millones de pesos) ,3T20 ,4T20 ,Var vs. 3T20 
Brecha Acumulada a un mes ,"(67,973) ","(65,449) ",(3.7%) 
Activos Líquidos ,"90,038 ","97,838 ",8.7% 


