Table
Institución ,Tipo de Cotización ,Clasificación Contable ,Tratamiento Capitalización ,Valor Mercado 4T20 ,Plusvalía / Minusvalía Acum. ,Utilidad / Pérdida Ventas / Compras 
Banorte ,Cotización Pública ,Negociación ,Riesgo Mercado ,0 ,(27.1) ,0 
Banorte ,Cotización Pública ,Disponibles para la Venta ,Riesgo Mercado ,0 ,(14.8) ,0 
Banorte ,Cotización Pública ,Negociación ,Deducción de capital ,496 ,254.6 ,0 
Banorte ,Sin Cotización Pública ,Disponibles para la Venta ,Riesgo Mercado y Crédito ,932.0 ,29.7 ,0 
,,,Total ,"1,428 ",242.4 ,0 


Table
Institución ,Tipo de Cotización ,Clasificación Contable ,Tratamiento Capitalización ,Valor Mercado 4T20 ,Plusvalía / Minusvalía Acum. ,Utilidad / Pérdida Ventas / Compras 
Casa de Bolsa Banorte ,Cotización Pública ,Negociación ,Riesgo Mercado ,655.6 ,410.9 ,3.1 
,,,Total ,655.6 ,410.9 ,3.1 


