Table
Comisiones por Servicios (Millones de Pesos) ,4T19 ,3T20 ,4T20 ,Var. 3T20 ,Vs. 4T19 ,2019 ,2020 ,Var. Vs. 2019 
Transferencia de Fondos ,427 ,489 ,513 ,5% ,20% ,"1,636 ","1,878 ",15% 
Manejo de Cuenta ,587 ,548 ,529 ,(3%) ,(10%) ,"2,366 ","2,163 ",(9%) 
Servicios de Banca Electrónica ,"2,656 ","2,379 ","3,033 ",28% ,14% ,"9,432 ","9,775 ",4% 
Comisiones por Servicios Bancarios Básicos ,"3,669 ","3,415 ","4,075 ",19% ,11% ,"13,434 ","13,816 ",3% 
Por Créditos Comerciales y Vivienda * ,509 ,129 ,366 ,184% ,(28%) ,"1,317 ","1,384 ",5% 
Por Créditos de Consumo ,"1,424 ","1,148 ","1,292 ",13% ,(9%) ,"5,163 ","4,732 ",(8%) 
Fiduciario * ,146 ,113 ,153 ,36% ,5% ,486 ,487 ,0% 
Ingresos por Portafolios Inmobiliarios ,7 ,6 ,19 ,236% ,180% ,276 ,42 ,(85%) 
Fondos de Inversión ,472 ,501 ,504 ,1% ,7% ,"1,811 ","1,953 ",8% 
Asesoría e Intermediación Financiera ,102 ,128 ,142 ,11% ,39% ,513 ,542 ,6% 
Otras Comisiones Cobradas (1) ,261 ,268 ,223 ,(17%) ,(15%) ,"1,063 ","1,048 ",(1%) 
Comisiones por Servicios Cobrados ,"6,591 ","5,708 ","6,775 ",19% ,3% ,"24,063 ","24,003 ",(0%) 
Cuotas de Intercambio ,"1,349 ","1,228 ","1,684 ",37% ,25% ,"4,676 ","5,157 ",10% 
Comisiones de Seguros ,(109) ,317 ,227 ,(28%) ,309% ,"1,350 ","1,371 ",2% 
Otras Comisiones Pagadas ,"1,120 ","1,066 ","1,264 ",19% ,13% ,"4,026 ","4,257 ",6% 
Comisiones por Servicios Pagados ,"2,361 ","2,611 ","3,176 ",22% ,35% ,"10,052 ","10,784 ",7% 
Comisiones por Servicios Netas ,"4,230 ","3,096 ","3,599 ",16% ,(15%) ,"14,011 ","13,219 ",(6%) 


Table
Ingresos No Financieros (Millones de Pesos) ,4T19 ,3T20 ,4T20 ,Var. 3T20 ,Vs. 4T19 ,2019 ,2020 ,Var. Vs. 2019 
Comisiones por Servicios Netas ,"4,230 ","3,096 ","3,599 ",16% ,(15%) ,"14,011 ","13,219 ",(6%) 
Intermediación ,872 ,"1,128 ",858 ,(24%) ,(2%) ,"5,289 ","4,854 ",(8%) 
Otros Ingresos (Egresos) de la Operación ,746 ,656 ,859 ,31% ,15% ,"4,264 ","2,983 ",(30%) 
Ingresos No Financieros ,"5,847 ","4,880 ","5,315 ",9% ,(9%) ,"23,564 ","21,056 ",(11%) 


