Table
Utilidad Neta (Millones de Pesos) ,4T19 ,3T20 ,4T20 ,Var. 3T20 ,Vs. 4T19 ,2019 ,2020 ,Var. Vs. 2019 
Resultado Neto de Operación ,"11,698 ","11,717 ","7,290 ",(38%) ,(38%) ,"48,116 ","38,944 ",(19%) 
Participación en el Resultado de Subsidiarias y Asociadas no consolidadas ,389 ,492 ,509 ,4% ,31% ,"1,716 ","2,002 ",17% 
Resultado antes de Impuestos ,"12,086 ","12,208 ","7,800 ",(36%) ,(35%) ,"49,832 ","40,947 ",(18%) 
Impuestos ,"2,951 ","3,178 ","1,757 ",(45%) ,(40%) ,"12,795 ","10,049 ",(21%) 
Partidas Discontinuadas ,- ,- ,- ,N.A. ,N.A. ,- ,- ,N.A. 
Participación no controladora ,(125) ,(124) ,(77) ,38% ,39% ,(509) ,(389) ,23% 
Utilidad Neta ,"9,010 ","8,906 ","5,966 ",(33%) ,(34%) ,"36,528 ","30,508 ",(16%) 


Table
,4T19 ,3T20 ,4T20 
ROA ,2.3% ,2.0% ,1.3% 
Activos Ponderados por Riesgo Promedio (millones de pesos) ,"777,632 ","856,129 ","889,469 "
RAPR ,4.7% ,3.9% ,3.4% 


Table
,4T19 ,3T20 ,4T20 
ROE ,19.0% ,16.9% ,10.9% 
Crédito Mercantil / Intangibles (millones de pesos) ,"52,115 ","39,203 ","39,439 "
Capital Tangible Promedio (millones de pesos) ,"132,871 ","156,693 ","161,914 "
ROTE ,26.1% ,20.9% ,13.3% 


