Table
Depósitos (Millones de Pesos) ,4T19 ,3T20 ,4T20 ,Var. 3T20 ,Vs. 4T19 
Depósitos a la Vista - Sin Intereses ,"297,379 ","308,843 ","341,309 ",11% ,15% 
Depósitos a la Vista - Con Intereses ,"140,158 ","200,234 ","192,022 ",(4%) ,37% 
Depósitos a la Vista ,"437,537 ","509,077 ","533,331 ",5% ,22% 
Depósitos a Plazo - Ventanilla ,"229,036 ","219,636 ","217,272 ",(1%) ,(5%) 
Depósitos ,"666,573 ","728,713 ","750,603 ",3% ,13% 
Mesa de Dinero y Tit. de Crédito Emitidos ,"77,698 ","105,423 ","92,650 ",(12%) ,19% 
Captación Integral Banco ,"744,271 ","834,137 ","843,253 ",1% ,13% 
Depósitos Total GFNorte ,"724,490 ","813,104 ","821,712 ",1% ,13% 
Depósitos por cuenta de terceros ,"152,648 ","181,291 ","151,228 ",(17%) ,(1%) 
Total de Recursos en Administración ,"896,919 ","1,015,428 ","994,481 ",(2%) ,11% 


Table
Cartera de Crédito Vigente (Millones de Pesos) ,4T19 ,3T20 ,4T20 ,Var. 3T20 ,Vs. 4T19 
Hipotecario ,"170,086 ","182,685 ","187,736 ",3% ,10% 
Automotriz ,"26,669 ","27,394 ","28,165 ",3% ,6% 
Tarjeta de Crédito ,"39,700 ","38,585 ","36,651 ",(5%) ,(8%) 
Crédito de Nómina ,"51,311 ","52,342 ","51,668 ",(1%) ,1% 
Consumo ,"287,766 ","301,005 ","304,220 ",1% ,6% 
Comercial ,"172,729 ","188,237 ","192,927 ",2% ,12% 
Corporativo ,"128,159 ","146,626 ","143,429 ",(2%) ,12% 
Gobierno ,"173,988 ","162,609 ","161,563 ",(1%) ,(7%) 
Total ,"762,642 ","798,478 ","802,138 ",0% ,5% 


