Table
Créditos a PYMES (Millones de Pesos) ,4T19 ,3T20 ,4T20 ,Var. 3T20 ,Vs. 4T19 
Cartera Vigente ,"32,735 ","37,237 ","37,741 ",1% ,15% 
% de Cartera Vigente Comercial ,19.0% ,19.8% ,19.6% ,(22 pb) ,61 pb 
% de Cartera Vigente Total ,4.3% ,4.7% ,4.7% ,4 pb ,41 pb 
Índice de Cartera Vencida ,6.6% ,1.94% ,2.02% ,8 pb ,(453 pb) 


Table
Créditos a Infraestructura (Millones de Pesos) ,4T19 ,3T20 ,4T20 ,Var. 3T20 ,Vs. 4T19 
Cartera Vigente ,"42,869 ","48,746 ","47,999 ",(2%) ,12% 
% de Cartera Vigente Total ,5.7% ,6.1% ,6.0% ,(12 pb) ,29 pb 
Índice de Cartera Vencida ,0.0% ,0.6% ,1.1% ,47 pb ,102 pb 


