Table
Provisiones preventivas para Riesgos Crediticios (Millones de Pesos) ,4T20 
Provisiones Preventivas Iniciales ,"17,666 "
Cargos a resultados ,"6,655 "
Cargos a utilidades retenidas ,0 
Creadas con Margen de Utilidad ,0 
Reserva de Carteras Vendidas ,0 
Otros Conceptos ,0 
"Castigos, condonaciones Y quitas: ",
Créditos Comerciales ,(732) 
Créditos al Consumo ,"(2,468) "
Créditos a la Vivienda ,"(1,083) "
Por Bienes Adjudicados ,0 
,"(4,282) "
Costo de Programas de Apoyo a ,
Deudores ,(1) 
Valorización ,-33 
Eliminaciones ,0 
Provisiones Preventivas Finales ,"20,004 "


