Table
Capitalización (Millones de Pesos) ,4T19 ,3T20 ,4T20 ,Var. 3T20 ,VS. 4T19 
Capital Fundamental ,"101,927 ","124,312 ","129,929 ",4.5% ,27.5% 
Capital Básico ,"139,655 ","179,672 ","179,701 ",0.0% ,28.7% 
Capital Complementario ,"8,783 ","11,365 ","8,894 ",-21.7% ,1.3% 
Capital Neto ,"148,438 ","191,036 ","188,595 ",-1.3% ,27.1% 
Activos con Riesgo Crédito ,"627,281 ","690,977 ","706,194 ",2.2% ,12.6% 
Capital Neto / Activos con Riesgo Crédito ,23.66% ,27.65% ,26.71% ,(0.9 pp) ,3.0 pp 
Activos Riesgo Total ,"800,445 ","904,682 ","933,801 ",3.2% ,16.7% 
Capital Fundamental ,12.73% ,13.74% ,13.91% ,0.2 pp ,1.2 pp 
Capital Básico ,17.45% ,19.86% ,19.24% ,(0.6 pp) ,1.8 pp 
Capital Complementario ,1.10% ,1.26% ,0.95% ,(0.3 pp) ,(0.1 pp) 
Índice de Capitalización ,18.54% ,21.12% ,20.20% ,(0.9 pp) ,1.7 pp 


Table
Mes ,Jun-20 ,Jul-20 ,Ago-20 ,Sep-20 ,Oct-20 ,Nov-20 
ICAP ,19.66 ,20.52 ,20.69 ,21.12 ,20.92 ,20.89 
ICAP sin efecto de reservas s/ Complementario ,19.47 ,20.33 ,20.50 ,20.93 ,20.73 ,20.70 


Table
,Con Reservas Adicionales ,Sin Reservas Adicionales 
,-0.92 pp ,-0.75 pp 
1. Utilidades generadas en el 4T20 ,+ 0.61 pp ,+ 0.61 pp 
2. Valuación de Instrumentos Financieros y Derivados de Cobertura* ,+ 0.32 pp ,+ 0.32 pp 
3. Reservas Adicionales ,- -0.19 pp ,+0.00 pp 
4. Inversiones Permanentes e Intangibles y otros efectos en Capital** ,-0.04 pp ,-0.04 pp 
5. Desincorporación reservas adicionales Jun-20 en complementario ,-0.19 pp ,-0.19 pp 
6. Crecimiento en Activos en Riesgo ,-0.66 pp ,-0.68 pp 
7. Notas de Capital ,-0.77 pp ,-0.77 pp 


