Table
PASIVOS Y CAPITAL ,Operadora de Fondos Banorte ,IXE Servicios ,Total ,Cargos Eliminaciones Intercompañías ,Créditos Eliminaciones Intercompañías ,Saldo Final 
Captación de Recursos ,- ,- ,"843,253 ","21,541 ",- ,"821,712 "
Depósitos exigibilidad inmediata ,- ,- ,"530,747 ","10,464 ",- ,"520,283 "
Depósitos a plazo ,- ,- ,"266,579 ",60 ,- ,"266,520 "
Depósitos a plazo-Del Público en General ,- ,- ,"252,331 ",60 ,- ,"252,271 "
Depósitos a plazo-Mercado de Dinero ,- ,- ,"14,248 ",- ,- ,"14,248 "
Títulos de crédito emitidos ,- ,- ,"43,342 ","11,018 ",- ,"32,325 "
Cuenta global de captación sin movimientos ,- ,- ,"2,585 ",- ,- ,"2,585 "
Préstamos de Bancos y otros ,- ,- ,"50,441 ","14,420 ",- ,"36,021 "
De exigibilidad inmediata ,- ,- ,0 ,- ,- ,0 
De corto plazo ,- ,- ,"36,919 ","14,420 ",- ,"22,499 "
De largo plazo ,- ,- ,"13,522 ",- ,- ,"13,522 "
Reservas Técnicas ,- ,- ,"187,683 ",- ,163 ,"187,846 "
Valores asignados por liquidar ,- ,- ,- ,- ,- ,- 
Acreedores por reporto ,- ,- ,"354,094 ","1,000 ",- ,"353,094 "
Colaterales vendidos o dados en garantía ,- ,- ,21 ,- ,- ,21 
Derivados con fines de negociación ,- ,- ,"44,097 ",- ,- ,"44,097 "
Derivados con fines de cobertura ,- ,- ,"4,990 ",- ,- ,"4,990 "
Ajustes de valuación por cobertura de pasivos financieros ,- ,- ,- ,- ,- ,- 
Cuentas por pagar a Reaseguradores y Reafianzadores (Neto) ,- ,- ,"2,269 ",- ,- ,"2,269 "
Otras Cuentas por pagar ,160 ,0 ,"52,970 ",439 ,39 ,"52,570 "
Impuestos a la Utilidad por pagar ,(0) ,0 ,"4,365 ",- ,- ,"4,365 "
Participación de los trabajadores en la utilidad ,- ,- ,538 ,- ,- ,538 
Acreedores por liquidación de operaciones ,- ,- ,"4,955 ",62 ,- ,"4,892 "
Acreedores por colaterales recibidos en efectivo ,- ,- ,"6,860 ",- ,- ,"6,860 "
Acreedores Diver. yotras ctas. p/pagar ,160 ,0 ,"36,253 ",377 ,39 ,"35,915 "
Obligaciones subordinadas en circulación ,- ,- ,"57,152 ",- ,- ,"57,152 "
Impuestos diferidos (Neto) ,- ,- ,"2,845 ","1,227 ",- ,"1,618 "
Créditos diferidos y Cobros Anticipados ,- ,- ,"1,411 ",- ,- ,"1,411 "
TOTAL PASIVOS ,160 ,0 ,"1,601,226 ","38,628 ",202 ,"1,562,801 "
CAPITAL ,,,,,,
Capital contribuido ,170 ,144 ,"121,075 ","58,209 ",322 ,"63,188 "
Capital Social ,170 ,144 ,"64,174 ","49,255 ",- ,"14,919 "
Prima en venta de acciones ,- ,- ,"56,901 ","8,954 ",322 ,"48,269 "
Aportaciones para futuros aumentos de capital acordadas por su órgano de gobierno ,- ,- ,- ,- ,- ,- 
Capital Ganado ,"1,177 ",(9) ,"287,525 ","128,840 ",368 ,"159,053 "
Reservas de capital ,34 ,2 ,"30,121 ","20,905 ",- ,"9,215 "
Resultado de ejercicios anteriores ,728 ,(10) ,"195,912 ","77,440 ",300 ,"118,773 "
Res. por valuación de títulos disponibles para la venta ,- ,- ,"7,820 ","4,020 ",- ,"3,801 "
Res. por valuación de instrumentos de cobertura de flujos de efectivo ,- ,- ,"(1,792) ",(905) ,- ,(887) 
Resultado en la Valuación de la Reserva de Riesgos en curso por variaciones en las tasas ,- ,- ,(462) ,(231) ,- ,(231) 
Efecto acumulado por conversión ,- ,- ,269 ,135 ,- ,134 
Exceso (insuf.) en la actualiz. del Cap. Cont. ,- ,- ,- ,- ,- ,- 
Remediciones por beneficios definidos a los empleados ,- ,- ,"(4,583) ","(2,323) ",- ,"(2,259) "
Resultado neto ,416 ,(2) ,"60,240 ","29,799 ",67 ,"30,508 "
Capital Mayoritario ,"1,347 ",135 ,"408,600 ","187,049 ",689 ,"222,241 "
Participación no controladora ,- ,- ,506 ,- ,"2,356 ","2,862 "
Total Capital Contable ,"1,347 ",135 ,"409,107 ","187,049 ","3,045 ","225,103 "
TOTAL PASIVOS Y CAPITAL ,"1,507 ",135 ,"2,010,333 ","225,676 ","3,247 ","1,787,904 "


