Table
Concepto ,Saldos con apoyo COVID ,Efectos en cartera y estimación ,Saldos sin apoyo COVID 
CARTERA DE CRÉDITO VIGENTE ,,,
Créditos comerciales ,"$497,918 ",$ (564) ,"$497,354 "
Créditos al consumo ,"116,484 ",(773) ,"115,711 "
Créditos a la vivienda ,"187,736 ","(1,118) ","186,618 "
TOTAL CARTERA DE CRÉDITO VIGENTE ,"802,138 ","(2,455) ","799,683 "
CARTERA DE CRÉDITO VENCIDA ,,,
Créditos comerciales ,"2,567 ",564 ,"3,131 "
Créditos al consumo ,"4,705 ",773 ,"5,478 "
Créditos a la vivienda ,"1,659 ","1,118 ","2,777 "
TOTAL CARTERA DE CRÉDITO VENCIDA ,"8,931 ","2,455 ","11,386 "
CARTERA DE CRÉDITO ,"811,069 ",- ,"811,069 "
(Menos) ESTIMACION PREVENTIVA PARA RIESGOS CREDITICIOS ,"(20,004) ",(731) ,"(20,735) "
"CARTERA DE CRÉDITO, (NETA) ","791,065 ",(731) ,"790,334 "
,,,
TOTAL ACTIVOS ,"1,787,904 ",(731) ,"1,787,173 "


