Table
Estado de Resultados - GFNorte (Millones de Pesos) ,4T19 ,3T20 ,4T20 ,Var. 3T20 ,Vs. 4T19 ,2019 ,2020 ,Var. Vs. 2019 
Ingresos por Intereses ,"37,667 ","33,341 ","30,676 ",(8%) ,(19%) ,"150,514 ","133,593 ",(11%) 
Gastos por Intereses ,"15,174 ","10,430 ","9,638 ",(8%) ,(36%) ,"68,693 ","47,898 ",(30%) 
Resultado Técnico (Seguros y Pensiones) ,"(2,305) ","(2,310) ","(1,458) ",37% ,37% ,"(1,244) ","(2,863) ",(130%) 
Ingresos de Intereses Netos ,"20,188 ","20,601 ","19,580 ",(5%) ,(3%) ,"80,577 ","82,832 ",3% 
Comisiones por Servicios Netas ,"4,230 ","3,096 ","3,599 ",16% ,(15%) ,"14,011 ","13,219 ",(6%) 
Intermediación ,872 ,"1,128 ",858 ,(24%) ,(2%) ,"5,289 ","4,854 ",(8%) 
Otros Ingresos (Egresos) de la Operación ,746 ,656 ,859 ,31% ,15% ,"4,264 ","2,983 ",(30%) 
Ingresos No Financieros ,"5,847 ","4,880 ","5,315 ",9% ,(9%) ,"23,564 ","21,056 ",(11%) 
Ingreso Total ,"26,035 ","25,481 ","24,896 ",(2%) ,(4%) ,"104,141 ","103,888 ",(0%) 
Gasto No Financiero ,"10,572 ","10,627 ","11,612 ",9% ,10% ,"40,678 ","43,013 ",6% 
Provisiones ,"3,765 ","3,138 ","5,993 ",91% ,59% ,"15,347 ","21,931 ",43% 
Resultado Neto de Operación ,"11,698 ","11,717 ","7,290 ",(38%) ,(38%) ,"48,116 ","38,944 ",(19%) 
Impuestos ,"2,951 ","3,178 ","1,757 ",(45%) ,(40%) ,"12,795 ","10,049 ",(21%) 
Participación en el Resultado de Subsidiarias ,389 ,492 ,509 ,4% ,31% ,"1,716 ","2,002 ",17% 
Participación no controladora ,(125) ,(124) ,(77) ,38% ,39% ,(509) ,(389) ,23% 
Subsidiarias y participación no controladora ,263 ,368 ,433 ,18% ,64% ,"1,208 ","1,613 ",34% 
Utilidad Neta ,"9,010 ","8,906 ","5,966 ",(33%) ,(34%) ,"36,528 ","30,508 ",(16%) 
Balance General - GFNorte (Millones de Pesos) ,4T19 ,3T20 ,4T20 ,Var. 3T20 ,Vs. 4T19 ,,,
Activos en Administración ,"2,771,604 ","2,981,568 ","2,975,753 ",(0%) ,7% ,,,
Cartera Vigente (a) ,"762,642 ","798,478 ","802,138 ",0% ,5% ,,,
Cartera Vencida (b) ,"12,806 ","6,660 ","8,931 ",34% ,(30%) ,,,


Table
Indicadores Financieros GFNorte ,4T19 ,3T20 ,4T20 ,,,2019 ,2020 
Rentabilidad: ,,,,,,,
MIN (1) ,5.7% ,5.1% ,4.8% ,,,5.62% ,5.30% 
ROE (2) ,19.0% ,16.9% ,10.9% ,,,20.1% ,14.8% 
ROA (3) ,2.3% ,2.0% ,1.3% ,,,2.3% ,1.8% 
Operación: ,,,,,,,
Índice de Eficiencia (4) ,40.6% ,41.7% ,46.6% ,,,39.1% ,41.4% 
Índice de Eficiencia Operativa (5) ,2.7% ,2.4% ,2.6% ,,,2.6% ,2.5% 
CCL Promedio Banorte y SOFOM - Basilea III (6) ,133.5% ,193.6% ,192.5% ,,,133.5% ,192.5% 
Calidad de Activos: ,,,,,,,
Índice de Cartera Vencida ,1.7% ,0.8% ,1.1% ,,,1.7% ,1.1% 
Índice de Cobertura ,137.7% ,265.2% ,224.0% ,,,137.7% ,224.0% 
Costo de Riesgo (7) ,1.98% ,1.56% ,2.97% ,,,1.98% ,2.75% 
Referencias de Mercado ,,,,,,,
Tasa de Referencia Banxico ,7.25% ,4.25% ,4.25% ,,,7.25% ,4.25% 
TIIE 28 días (Promedio) ,7.86% ,4.99% ,4.51% ,,,8.32% ,5.73% 
Tipo de Cambio Peso/Dólar ,18.86 ,22.14 ,19.91 ,,,19.30 ,22.16 


