Table
,Moneda ,(Millones Nacional ,Pesos) UDIS ,,Moneda ,Extranjera ,Total ,
,4T19 ,4T20 ,4T19 ,4T20 ,4T19 ,4T20 ,4T19 ,4T20 
Cartera Vigente ,,,,,,,,
Créditos Comerciales ,"232,859 ","265,061 ",0 ,- ,"60,639 ","60,123 ","293,499 ","325,183 "
Créditos a Entidades Financieras ,"7,389 ","11,172 ",0 ,- ,0 ,- ,"7,389 ","11,172 "
Créditos al Consumo ,"117,680 ","116,484 ",0 ,- ,0 ,- ,"117,680 ","116,484 "
Créditos a la Vivienda ,"169,983 ","187,655 ",103 ,81 ,0 ,- ,"170,086 ","187,736 "
Créditos a Entidades Gubernamentales ,"160,762 ","149,739 ","6,333 ",- ,"6,892 ","11,824 ","173,988 ","161,563 "
Total ,"688,673 ","730,111 ","6,437 ",81 ,"67,532 ","71,947 ","762,642 ","802,138 "
Cartera Vencida ,,,,,,,,
Créditos Comerciales ,"4,927 ","2,340 ",0 ,0 ,"1,584 ",190 ,"6,511 ","2,530 "
Créditos a Entidades Financieras ,4 ,0 ,0 ,- ,0 ,- ,4 ,- 
Créditos al Consumo ,"4,314 ","4,706 ",0 ,- ,0 ,- ,"4,314 ","4,706 "
Créditos a la Vivienda ,"1,960 ","1,647 ",13 ,11 ,0 ,0 ,"1,973 ","1,658 "
Créditos a Entidades Gubernamentales ,4 ,38 ,- ,- ,- ,- ,4 ,38 
Total ,"11,210 ","8,730 ",13 ,11 ,"1,584 ",190 ,"12,806 ","8,931 "
Cartera de Crédito ,"699,883 ","738,841 ","6,449 ",92 ,"69,116 ","72,136 ","775,448 ","811,070 "


Table
DIFERENCIAS TEMPORALES ACTIVAS ,ISR ,Neto 
Reservas Preventivas Globales de Cartera Crediticia ,"5,839 ","5,839 "
Provisiones no deducibles ,"1,669 ","1,669 "
Exceso del valor contable sobre el fiscal del bienes adjudicados y activo fijo ,405 ,405 
PTU disminuible ,159 ,159 
Comisiones cobrada por anticipado ,"1,063 ","1,063 "
Efecto por valuación de instrumentos financieros ,- ,- 
Pérdidas fiscales por amortizar ,808 ,808 
Provisiones para posibles pérdidas de créditos ,345 ,345 
Pérdida en venta de creditos y bienes adjudicados ,- ,- 
Disminución del valor de bienes inmuebles ,- ,- 
Intereses en prestamos ,- ,- 
Otras partidas ,244 ,244 
Total Activo ,"10,532 ","10,532 "
Diferencias Temporales Pasivas ,,
Aportación fondo de pensiones ,(146) ,(146) 
Adquisición de portafolios de cartera ,(494) ,(494) 
Proyectos capitalizables. pagos e ingresos anticipados ,"(6,095) ","(6,095) "
Activos Intangibles distintos del Fondo de Comercio ,- ,- 
Efecto por valuación de instrumentos financieros ,"(5,050) ","(5,050) "
Activos Intangibles con relacion con clientes ,(352) ,(352) 
Efecto por otras partidas ,(14) ,(14) 
Total Pasivo ,"(12,151) ","(12,151) "
Activo (Pasivo) neto acumulado ,"(1,618) ","(1,618) "


Table
,COSTO DEL PERIODO ,TOTAL SALDO DE CARTERA 
FINAPE ,- ,- 
FOPYME ,- ,- 
Hipotecario UDIS ,(0.1) ,0.0 
Hipotecario tipo FOVI ,- ,- 
,(0.1) ,0.0 


