Table
Utilidad de Subsidiarias (Millones de Pesos) ,4T19 ,3T20 ,4T20 ,Var. 3T20 ,Vs. 4T19 ,2019 ,2020 ,Var. Vs. 2019 
Banco Mercantil del Norte ,"6,729 ","6,518 ","3,833 ",(41%) ,(43%) ,"26,994 ","20,029 ",(26%) 
Casa de Bolsa Banorte Ixe ,276 ,254 ,250 ,(1%) ,(9%) ,869 ,"1,076 ",24% 
Operadora de Fondos Banorte-Ixe ,101 ,103 ,106 ,3% ,5% ,390 ,416 ,7% 
Afore XXI Banorte ,360 ,454 ,475 ,5% ,32% ,"1,609 ","1,873 ",16% 
Seguros Banorte ,744 ,745 ,471 ,(37%) ,(37%) ,"3,918 ","3,846 ",(2%) 
Pensiones Banorte ,272 ,340 ,503 ,48% ,85% ,"1,030 ","1,551 ",51% 
BAP (Controladora) ,2 ,8 ,9 ,15% ,452% ,(0) ,39 ,N.A. 
Otras Subsidiarias Auxiliares de Crédito ,173 ,245 ,88 ,(64%) ,(49%) ,786 ,641 ,(18%) 
G. F. Banorte (Controladora) ,353 ,238 ,232 ,(3%) ,(34%) ,932 ,"1,036 ",11% 
Utilidad Neta Total ,"9,010 ","8,906 ","5,966 ",(33%) ,(34%) ,"36,528 ","30,508 ",(16%) 


Table
Información de la Acción del Grupo ,4T19 ,3T20 ,4T20 ,Var. 3T20 ,Vs. 4T19 ,2019 ,2020 ,Var. Vs. 2019 
Utilidad por Acción (Pesos) ,3.125 ,3.089 ,2.069 ,(33%) ,(34%) ,12.668 ,10.580 ,(16%) 
Utilidad por Acción Básica (Pesos) ,3.138 ,3.132 ,2.097 ,(33%) ,(33%) ,12.747 ,10.699 ,(16%) 
Dividendo por Acción del periodo (Pesos) ,0.00 ,0.00 ,0.00 ,- ,- ,5.54 ,0.00 ,- 
Payout del Periodo ,0.0% ,0.0% ,0.0% ,- ,- ,50.0% ,0.0% ,- 
Valor en Libros por Acción (Pesos) ,67.18 ,74.44 ,77.07 ,4% ,15% ,67.18 ,77.07 ,15% 
"Número de Acciones Emitidas, Suscritas y Pagadas (Millones) ","2,883.5 ","2,883.5 ","2,883.5 ",0% ,0% ,"2,883.5 ","2,883.5 ",0% 
Precio de la Acción (Pesos) ,105.00 ,76.62 ,109.93 ,43% ,5% ,105.00 ,109.93 ,5% 
P/VL (Veces) ,1.56 ,1.03 ,1.43 ,39% ,(9%) ,1.56 ,1.43 ,(9%) 
Capitalización de Mercado (Millones de dólares) ,"16,050 ","9,977 ","15,922 ",60% ,(1%) ,"16,050 ","15,922 ",(1%) 
Capitalización de Mercado (Millones de pesos) ,"302,763 ","220,930 ","316,978 ",43% ,5% ,"302,763 ","316,978 ",5% 


