Table
Millones de dólares americanos ,,,,
Segmento ,ene-21 ,feb-21 ,mar-21 ,Promedio 
"Riesgo Soberano, Banca de Desarrollo e Instituciones Financieras ",2.52 ,2.30 ,2.03 ,2.29 
Corporativos ,6.65 ,5.91 ,6.10 ,6.22 
Project Finance ,5.13 ,3.64 ,2.98 ,3.92 
Empresas ,3.45 ,2.63 ,2.02 ,2.70 


Table
Segmento ,ene-21 ,feb-21 ,mar-21 ,Promedio 
"Riesgo Soberano, Banca de Desarrollo e ",,,,
Instituciones Financieras ,"25,549 ","26,425 ","26,638 ","26,204 "
Corporativos ,63 ,61 ,66 ,63 
Project Finance ,0 ,0 ,0 ,0 
Empresas ,0 ,0 ,0 ,0 


Table
Millones de dólares americanos ,,,,
Segmento ,ene-21 ,feb-21 ,mar-21 ,Promedio 
"Riesgo Soberano, Banca de Desarrollo e ",,,,
Instituciones Financieras ,"28,737 ","25,558 ","26,131 ","26,809 "
Corporativos ,(324) ,(344) ,(288) ,(318) 
Project Finance ,272 ,221 ,185 ,226 
Empresas ,180 ,137 ,87 ,135 


Table
Millones de dólares americanos ,,,,
Segmento ,oct-20 ,nov-20 ,dic-20 ,Promedio 
"Riesgo Soberano, Banca de Desarrollo e ",,,,
Instituciones Financieras ,6.7 ,6.7 ,6.9 ,6.8 
Corporativos ,6.1 ,6.1 ,6.1 ,6.1 
Project Finance ,5.5 ,5.5 ,5.5 ,5.5 
Empresas ,5.5 ,5.5 ,5.3 ,5.5 


Table
Tipo de Derivado ,Porcentaje de productos cierre del primer trimestre de 2021 
Derivados sobre tasas de interés ,38.66% 
Derivados sobre tipo de cambio ,61.14% 
Derivados sobre renta fija ,0.00% 
Derivados sobre acciones ,0.20% 
Total ,100.00% 


