Table
Millones de pesos ,Total ,0-1 mes ,1-3 meses ,3-6 meses ,6-12 meses ,1-3 años ,3-5 años ,>5 años ,No sensible 
Mercado de Dinero ,"144,565 ","32,636 ",0 ,10 ,0 ,0 ,0 ,0 ,"111,919 "
Préstamos ,"906,434 ","53,486 ","86,614 ","70,534 ","103,026 ","252,900 ","113,424 ","225,978 ",473 
Financiamiento de Comercio ,,,,,,,,,
Exterior ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Intragrupo ,"2,324 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,324 "
Valores ,"621,219 ","81,245 ","5,776 ","18,753 ","16,306 ","124,401 ","59,352 ","96,046 ","219,339 "
Permanentes ,"17,848 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"17,848 "
Otros Activos dentro de Balance ,"2,432,203 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,432,203 "
Total de Activos Dentro de Balance ,"4,124,592 ","167,367 ","92,391 ","89,297 ","119,332 ","377,301 ","172,776 ","322,024 ","2,784,105 "
Mercado de Dinero ,"(350,879) ","(136,167) ",(25) ,0 ,0 ,(35) ,0 ,0 ,"(214,652) "
Depósitos ,"(765,648) ","(188,768) ","(36,499) ","(22,885) ","(26,267) ","(78,592) ","(62,686) ","(349,951) ",0 
Financiamiento de Comercio ,,,,,,,,,
Exterior ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Intragrupo ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Financiamiento de largo plazo ,"(237,778) ","(7,804) ","(13,606) ","(23,355) ","(32,978) ","(88,412) ","(41,763) ","(8,307) ","(21,553) "
Capital ,"(158,338) ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(158,338) "
Otros Pasivos Dentro de Balance ,"(2,421,686) ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(2,421,686) "
Total Pasivos Dentro de Balance ,"(3,934,329) ","(332,739) ","(50,130) ","(46,241) ","(59,245) ","(167,039) ","(104,449) ","(358,258) ","(2,816,229) "
Descalce Total Dentro de Balance ,"190,263 ","(165,373) ","42,261 ","43,056 ","60,087 ","210,262 ","68,328 ","(36,234) ","(32,123) "
Descalce Total Fuera de Balance ,"(3,137) ","(18,378) ",(431) ,(337) ,233 ,"3,417 ","(1,112) ",(494) ,"13,964 "
Total Descalce Estructural ,,"(116,886) ","41,513 ","42,322 ","59,443 ","213,636 ","67,216 ","(36,728) ","(83,411) "
Descalce Acumulado ,,"(109,173) ","(75,373) ","(33,051) ","18,394 ","240,029 ","307,245 ","270,517 ","187,106 "


Table
31/12/2020 ,Plazo ,Monto 
Millones de pesos ,,
Consolidado ,90 días ,"299,859 "
Moneda Nacional ,90 días ,"124,609 "
Moneda Extranjera ,30 días ,"167,196 "


