Table
Millones de pesos ,,,,% Variación ,
,Mar-21 ,Dic-20 ,Mar-20 ,TaT ,AaA 
Comercial ,"423,445 ","414,186 ","504,684 ",2.2 ,(16.1) 
Empresas ,"194,004 ","194,058 ","214,054 ",(0.0) ,(9.4) 
Corporativos ,"70,857 ","71,641 ","122,347 ",(1.1) ,(42.1) 
Pymes ,"60,415 ","65,371 ","74,587 ",(7.6) ,(19.0) 
Entidades Gubernamentales y Entidades Financieras ,"98,169 ","83,116 ","93,696 ",18.1 ,4.8 
Individuos ,"290,544 ","288,583 ","271,125 ",0.7 ,7.2 
Consumo ,"113,294 ","115,712 ","115,911 ",(2.1) ,(2.3) 
Tarjeta de crédito ,"50,807 ","53,809 ","57,624 ",(5.6) ,(11.8) 
Otros Consumo ,"62,487 ","61,903 ","58,287 ",0.9 ,7.2 
Hipotecario ,"177,250 ","172,871 ","155,214 ",2.5 ,14.2 
Total ,"713,989 ","702,769 ","775,809 ",1.6 ,(8.0) 


