Table
Nivel de mercado ,Valor observado ,Fechas ,de ejercicio 1a5 Fecha ,de ejercicio 6 
0.00 ,0.00 ,,Ps. 0.00 ,Ps. 0.00 
12.69 ,5.00 ,,Ps. 0.00 ,Ps. 5.00 
25.38 ,10.00 ,,Ps. 0.00 ,Ps. 10.00 
38.07 ,15.00 ,,Ps. 0.00 ,Ps. 15.00 
50.77 ,20.00 ,,Ps. 0.00 ,Ps. .20.00 
63.46 ,25.00 ,,Ps. 0.00 ,Ps. 25.00 
76.15 ,30.00 ,,Ps. 0.00 ,Ps. 30.00 
88.84 ,35.00 ,,Ps. 0.00 ,Ps. 35.00 
101.53 ,40.00 ,,Ps. 0.00 ,Ps. 40.00 
114.22 ,45.00 ,,Ps. 0.00 ,Ps. 45.00 
126.92 ,50.00 ,,Ps. 0.00 ,Ps. 50.00 
139.61 ,55.00 ,,Ps. 0.00 ,Ps. 55.00 
152.30 ,60.00 ,,Ps. .0.00 ,Ps. 60.00 
164.99 ,65.00 ,,Ps.0.00 ,Ps. 65.00 
177.68 ,70.00 ,,Ps. 0.00 ,Ps. .70.00 
190.37 ,75.00 ,,Ps.0.00 ,Ps. 75.00 
203.06 ,80.00 ,,Ps. 0.00 ,Ps. 80.00 


