Table
Nivel de mercado ,Valor observado ,Fechas de observación 1 a 3 ,Fechas ,de ejercicio 1 a 3 ,Fecha de ejercicio 4 
0.00 ,0.00 ,Ps. 0.00 ,,Ps. 0.00 ,Ps. 70.00 
8.64 ,5.00 ,Ps. 0.00 ,,Ps. 0.00 ,Ps. 70.00 
17.28 ,10.00 ,Ps. 0.00 ,,Ps. 0.00 ,Ps. 70.00 
25.92 ,15.00 ,Ps. 0.00 ,,Ps. 0.00 ,Ps. 70.00 
34.56 ,20.00 ,Ps. 0.00 ,,Ps. 0.00 ,Ps. 70.00 
43.20 ,25.00 ,Ps. 0.00 ,,Ps. 0.00 ,Ps. 70.00 
51.83 ,30.00 ,Ps. 0.00 ,,Ps. 0.00 ,Ps. 70.00 
60.47 ,35.00 ,Ps. 0.00 ,,Ps. 0.00 ,Ps. 70.00 
69.11 ,40.00 ,Ps. 0.00 ,,Ps. 0.00 ,Ps. 70.00 
77.75 ,45.00 ,Ps. 0.00 ,,Ps. 0.00 ,Ps. 70.00 
86.39 ,50.00 ,Ps. 0.00 ,,Ps. 0.00 ,Ps. 70.00 
95.03 ,55.00 ,Ps. 0.00 ,,Ps. 0.00 ,Ps. 70.00 
103.67 ,60.00 ,Ps. 0.00 ,,Ps. 0.00 ,Ps. 70.00 
112.31 ,65.00 ,Ps. 0.00 ,,Ps. 0.00 ,Ps. 75.00 
120.95 ,70.00 ,Ps. 0.00 ,,Ps. 0.00 ,Ps. 80.00 
129.59 ,75.00 ,Ps. 0.00 ,,Ps. 0.00 ,Ps. 85.00 
138.22 ,80.00 ,Ps. 0.00 ,,Ps. .0.00 ,Ps. 90.00 
146.86 ,85.00 ,Ps. 0.00 ,,Ps. .0.00 ,Ps. 95.00 
155.50 ,90.00 ,Ps. 2.52 ,,Ps. .0.00 ,Ps. 102.52 
164.14 ,95.00 ,Ps. 2.52 ,,Ps. 0.00 ,Ps. 102.52 
172.78 ,100.00 ,Ps. 0.00 ,,Ps. 102.52 ,Ps. 102.52 
181.42 ,105.00 ,Ps. 0.00 ,,Ps. 102.52 ,Ps. 102.52 
190.06 ,110.00 ,Ps. 0.00 ,,Ps. 102.52 ,Ps. 102.52 
198.70 ,115.00 ,Ps. 0.00 ,,Ps. 102.52 ,Ps. 102.52 
207.34 ,120.00 ,Ps. 0.00 ,,Ps. 102.52 ,Ps. 102.52 
215.98 ,125.00 ,Ps. 0.00 ,,Ps. 102.52 ,Ps. 102.52 
224.61 ,130.00 ,Ps. 0.00 ,,Ps. 102.52 ,Ps. 102.52 
233.25 ,135.00 ,Ps. 0.00 ,,Ps. 102.52 ,Ps. 102.52 
241.89 ,140.00 ,Ps. 0.00 ,,Ps. 102.52 ,Ps. 102.52 


