Table
Millones de pesos ,,
,Criterios Contables Especiales ,Criterio Contable B-6 
Ingresos por intereses ,"4,075 ","3,995 "
Intereses de cartera de crédito: ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,45 ,46 
Créditos de consumo ,"4,028 ","3,948 "
Total de ingresos por intereses de cartera de crédito ,"4,074 ","3,994 "
Estimación preventiva para riesgos crediticios ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,(66) ,(66) 
Créditos de consumo ,"(2,161) ","(1,976) "
Total de estimación preventiva para riesgos crediticios ,"(2,227) ","(2,042) "


Table
Créditos de consumo ,"4,347 ","4,660 "
Total de cartera de crédito vencida ,"4,368 ","4,681 "
Cartera de crédito ,"79,194 ","79,114 "
(-) Menos: ,,
Estimación preventiva para riesgos crediticios ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,(49) ,(49) 
Créditos de consumo ,"(9,024) ","(8,839) "
Total de estimación preventiva para riesgos crediticios ,"(9,073) ","(8,888) "
Total de cartera de crédito (Neto) ,"70,121 ","70,226 "


Table
Índice de capitalización ,
Criterios Contables Especiales ,27.97% 
Criterio Contable B-6 ,28.00% 
,3 pb 


