Table
Millones de pesos ,,,,% Variación ,,,,%Variació n 
,1T21 ,4T20 ,1T20 ,TaT ,AaA ,3M21 ,3M20 ,21/20 
Cobradas ,,,,,,,,
Tarjeta de débito y crédito ,"2,235 ","2,336 ","2,276 ",(4.3) ,(1.8) ,"2,235 ","2,276 ",(1.8) 
Manejo de cuentas ,650 ,640 ,648 ,1.6 ,0.3 ,650 ,648 ,0.3 
Servicios de cobros y pagos ,592 ,480 ,596 ,23.3 ,(0.7) ,592 ,596 ,(0.7) 
Sociedades de inversión ,414 ,414 ,394 ,0.0 ,5.1 ,414 ,394 ,5.1 
Seguros ,"1,285 ","1,378 ","1,231 ",(6.7) ,4.4 ,"1,285 ","1,231 ",4.4 
Compra-venta de valores y ,,,,,,,,
operaciones de mercado de dinero ,238 ,233 ,249 ,2.1 ,(4.4) ,238 ,249 ,(4.4) 
Negociación de cheques ,42 ,48 ,53 ,(12.5) ,(20.8) ,42 ,53 ,(20.8) 
Comercio exterior ,394 ,269 ,399 ,46.5 ,(1.3) ,394 ,399 ,(1.3) 
Asesoría técnica y ofertas públicas ,435 ,198 ,436 ,119.7 ,(0.2) ,435 ,436 ,(0.2) 
Otras ,250 ,205 ,226 ,22.0 ,10.6 ,250 ,226 ,10.6 
Total ,"6,535 ","6,201 ","6,508 ",5.4 ,0.4 ,"6,535 ","6,508 ",0.4 
Pagadas ,,,,,,,,
Tarjeta de débito y crédito ,(785) ,(747) ,(995) ,5.1 ,(21.1) ,(785) ,(995) ,(21.1) 
Seguros ,(37) ,(18) ,(32) ,105.6 ,15.6 ,(37) ,(32) ,15.6 
Compra venta de valores y ,,,,,,,,
operaciones de mercado de dinero ,(42) ,(38) ,(39) ,10.5 ,7.7 ,(42) ,(39) ,7.7 
Negociación de cheques ,(11) ,(12) ,(11) ,(8.3) ,0.0 ,(11) ,(11) ,0.0 
Asesoría técnica y ofertas publicas ,(7) ,(8) ,(1) ,(12.5) ,- ,(7) ,(1) ,- 
Corresponsalías Bancarias ,(216) ,(232) ,(208) ,(6.9) ,3.8 ,(216) ,(208) ,3.8 
Otras ,(535) ,(437) ,(525) ,22.4 ,1.9 ,(535) ,(525) ,1.9 
Total ,"(1,633) ","(1,492) ","(1,811) ",9.5 ,(9.8) ,"(1,633) ","(1,811) ",(9.8) 
Comisiones y tarifas (neto) ,,,,,,,,
Tarjeta de débito y crédito ,"1,450 ","1,589 ","1,281 ",(8.7) ,13.2 ,"1,450 ","1,281 ",13.2 
Manejo de cuentas ,650 ,640 ,648 ,1.6 ,0.3 ,650 ,648 ,0.3 
Servicios de cobros y pagos ,592 ,480 ,596 ,23.3 ,(0.7) ,592 ,596 ,(0.7) 
Sociedades de inversión ,414 ,414 ,394 ,0.0 ,5.1 ,414 ,394 ,5.1 
Seguros ,"1,248 ","1,360 ","1,199 ",(8.2) ,4.1 ,"1,248 ","1,199 ",4.1 
Compra venta de valores y ,,,,,,,,
operaciones de mercado de dinero ,196 ,195 ,210 ,0.5 ,(6.7) ,196 ,210 ,(6.7) 
Negociación de cheques ,31 ,36 ,42 ,(13.9) ,(26.2) ,31 ,42 ,(26.2) 
Comercio exterior ,394 ,269 ,399 ,46.5 ,(1.3) ,394 ,399 ,(1.3) 
Asesoría técnica y ofertas publicas ,428 ,190 ,435 ,125.3 ,(1.6) ,428 ,435 ,(1.6) 
Corresponsalías Bancarias ,(216) ,(232) ,(208) ,(6.9) ,3.8 ,(216) ,(208) ,3.8 
Otras ,(285) ,(232) ,(299) ,22.8 ,(4.7) ,(285) ,(299) ,(4.7) 
Total ,"4,902 ","4,709 ","4,697 ",4.1 ,4.4 ,"4,902 ","4,697 ",4.4 


