Table
Resultados (millones de pesos) ,1T21 ,4T20 ,1T20 ,%TaT ,%AaA 
Margen financiero ,"15,585 ","16,272 ","16,896 ",(4.2) ,(7.8) 
Comisiones y tarifas (neto) ,"4,902 ","4,709 ","4,697 ",4.1 ,4.4 
Margen básico ,"20,487 ","20,981 ","21,593 ",(2.4) ,(5.1) 
Estimación preventiva para riesgos crediticios ,"7,075 ","3,152 ","5,165 ",124.5 ,37.0 
Gastos de administración ,"9,894 ","11,102 ","9,785 ",(10.9) ,1.1 
Utilidad neta ,"3,279 ","5,480 ","5,414 ",(40.2) ,(39.4) 
Utilidad por acción (UPA¹¹ ,0.48 ,0.81 ,0.80 ,(40.2) ,(39.4) 


Table
Información Operativa ,Mar-21 ,Dic-20 ,Mar-20 ,%TaT ,%AaA 
Sucursales ,"1,007 ","1,013 ","1,211 ",(0.6) ,(16.8)² 
Sucursales y oficinas³ ,"1,352 ","1,350 ","1,406 ",0.1 ,(3.8) 
Cajeros automáticos ,"9,497 ","9,448 ","9,096 ",0.5 ,4.4 
Clientes ,"19,068,219 ","18,707,976 ","18,374,690 ",1.9 ,3.8 
Empleados ,"22,280 ","21,183 ","19,469 ",5.2 ,14.4 


Table
,Mar-21 ,Dic-20 ,Mar-20 ,%TaT ,%AaA 
,"1,748,298 ","1,856,213 ","1,802,210 ",(5.8) ,(3.0) 
,"713,989 ","702,769 ","775,809 ",1.6 ,(8.0) 
,"767,627 ","764,444 ","810,340 ",0.4 ,(5.3) 
,"159,654 ","158,871 ","141,041 ",0.5 ,13.2 


