Table
pesos ,Capital ,contribuido ,,,,Capital ,ganado ,,,,
CONCEPTO ,Capital social ,Prima en venta de acciones ,Reservas de capital ,Resultado de ejercicios anteriores ,Resultado por valuación de títulos disponibles para la venta ,Resultado por valuación instrumentos de cobertura de flujos de efectivo ,Efecto acumulado por conversión ,Remediciones por beneficios definidos a los empleados ,Resulta- do neto ,Participación no controladora ,Total capital contable 
SALDOS AL 31 DE DICIEMBRE DE 2020 MOVIMIENTOS INHERENTES A LOS ACCIONISTAS ,"29,799 ","5,134 ","25,446 ","76,672 ","3,632 ",(491) ,9 ,"(1,523) ","20,154 ",39 ,"158,871 "
Aplicación de resultados 2020 a resultado ,,,,,,,,,,,
de ejercicios anteriores ,,,,"20,154 ",,,,,"(20,154) ",,0 
TOTAL ,0 ,0 ,0 ,"20,154 ",0 ,0 ,0 ,0 ,"(20,154) ",0 ,0 
MOVIMIENTOS INHERENTES AL RECONOCIMIENTO DE LA UTILIDAD INTEGRAL ,,,,,,,,,,,
Resultado por valuación de títulos ,,,,,,,,,,,
disponibles para venta ,,,,,"(3,069) ",,,,,,"(3,069) "
Resultados por valuación de instrumentos ,,,,,,,,,,,
de cobertura de flujos de efectivo ,,,,,,650 ,,,,,650 
Reconocimiento de pagos basados en ,,,,,,,,,,,
acciones ,,54 ,,,,,,,,,54 
Acciones en tesorería ,,(11) ,,,,,,,,,(11) 
Intereses sobre obligaciones subordinadas ,,,,,,,,,,,
perpetuas no preferentes convertibles a ,,,,,,,,,,,
capital ,,,,(153) ,,,,,,,(153) 
Remediciones por beneficios definidos a ,,,,,,,,,,,
los empleados ,,,,,,,,35 ,,,35 
Resultado neto ,,,,,,,,,"3,279 ",,"3,279 "
Participación no controladora ,,,,,,,,,,(2) ,(2) 
TOTAL ,0 ,43 ,0 ,(153) ,"(3,069) ",650 ,0 ,35 ,"3,279 ",(2) ,783 
SALDOS AL 31 MARZO DE 2021 ,"29,799 ","5,177 ","25,446 ","96,673 ",563 ,159 ,9 ,"(1,488) ","3,279 ",37 ,"159,654 "


