Table
Millones de pesos ,31 ,de marzo del 2021 ,,31 ,de marzo del 2020 ,
,Banca Comercial ,Banca Corporativa y de Inversión ,Actividades Corporativas ,Banca Comercial ,Banca Corporativa y de Inversión ,Actividades Corporativas 
Activo ,,,,,,
Disponibilidades ,"44,900 ","44,798 ","7,785 ","45,668 ","54,191 ","13,568 "
Cuentas margen ,0 ,"4,017 ",0 ,0 ,"4,929 ",0 
Inversiones en valores ,0 ,"202,874 ","355,983 ",0 ,"108,019 ","260,375 "
Deudores por reporto ,0 ,"47,713 ",0 ,0 ,"66,147 ",0 
Derivados ,0 ,"218,097 ","10,150 ",0 ,"334,082 ","12,839 "
Ajuste de valuación por cobertura de activos financieros ,0 ,0 ,167 ,0 ,0 ,264 
Total cartera de crédito ,"604,754 ","109,235 ",0 ,"618,265 ","157,544 ",0 
Estimación preventiva para riesgos crediticios ,"(21,766) ","(3,171) ",0 ,"(20,450) ","(2,214) ",0 
Cartera de crédito (neto) ,"582,988 ","106,064 ",0 ,"597,815 ","155,330 ",0 
Beneficio por recibir en operaciones de bursatilización ,0 ,0 ,151 ,0 ,0 ,154 
Otras cuentas por cobrar (neto) ,200 ,"57,629 ","20,857 ",207 ,"87,723 ","18,163 "
Bienes adjudicados (neto) ,92 ,0 ,0 ,155 ,0 ,0 
"Propiedades, mobiliario y equipo (neto) ","10,561 ","1,203 ",281 ,"8,739 ","1,473 ",131 
Inversiones permanentes ,0 ,0 ,"1,168 ",0 ,0 ,359 
Impuestos y participación de los ,,,,,,
trabajadores en las utilidades ,0 ,0 ,"19,675 ",0 ,0 ,"21,849 "
diferidos (neto) ,,,,,,
Otros activos a corto y largo plazo ,"2,138 ","1,649 ","7,158 ","2,594 ","1,511 ","5,925 "
Total activo ,"640,879 ","684,044 ","423,375 ","655,178 ","813,405 ","333,627 "
Pasivo ,,,,,,
Captación ,"634,670 ","98,908 ","34,049 ","610,799 ","129,802 ","69,739 "
Títulos de crédito emitidos ,0 ,"1,401 ","79,317 ",0 ,"3,679 ","47,499 "
Préstamos bancarios y de otros organismos ,"17,792 ",15 ,"25,018 ","11,768 ","1,793 ","27,034 "
Acreedores por reporto ,"7,453 ","288,179 ",0 ,"7,785 ","226,797 ",0 
Colaterales vendidos o dados en garantía ,0 ,"20,952 ",0 ,0 ,"10,209 ",0 
Derivados ,0 ,"211,768 ","12,130 ",0 ,"336,580 ","24,730 "
Ajuste de valuación por cobertura de pasivos financieros ,0 ,0 ,0 ,0 ,0 ,3 
Otras cuentas por pagar ,"34,015 ","83,635 ","1,779 ","28,034 ","79,052 ","3,346 "
Obligaciones subordinadas en circulación ,0 ,0 ,"36,757 ",0 ,0 ,"42,218 "
Créditos diferidos y cobros anticipados ,806 ,0 ,0 ,302 ,0 ,0 
Total pasivo ,"694,736 ","704,858 ","189,050 ","658,688 ","787,912 ","214,569 "
Total capital contable ,"56,198 ","23,919 ","79,537 ","54,566 ","29,423 ","57,052 "
Total pasivo y capital contable ,"750,934 ","728,777 ","268,587 ","713,254 ","817,335 ","271,621 "


