Table
Porcentajes ,1T21 ,4T20 ,1T20 ,3M21 ,3M20 
Índice de morosidad ,2.91 ,3.08 ,2.16 ,2.91 ,2.16 
Índice de cobertura de cartera de crédito vencida ,120.12 ,116.87 ,135.17 ,120.12 ,135.17 
Eficiencia operativa ,2.20 ,2.39 ,2.44 ,2.20 ,2.30 
ROE ,8.24 ,14.13 ,15.48 ,8.24 ,15.48 
ROA ,0.73 ,1.18 ,1.35 ,0.18 ,1.35 
Índice de capitalización desglosado: ,,,,,
Riesgo de crédito ,29.00 ,28.04 ,24.55 ,29.00 ,24.55 
"Riesgo de crédito, mercado y operacional ",19.73 ,19.01 ,16.23 ,19.73 ,16.23 
Liquidez ,114.05 ,122.20 ,86.07 ,114.05 ,86.07 
MIN ,2.11 ,3.15 ,3.25 ,2.11 ,3.25 


