Table
Impuesto sobre la renta ,536 
Impuestos diferidos ,256 (1) 
Total Banco ,792 
Impuesto causado-diferido otras subsidiarias ,258 
Total Banco consolidado ,"1,050 "
(1) Se integran como sigue: ,
Reserva preventiva global ,(431) 
"Propiedades, mobiliario y equipo y cargos diferidos ",(9) 
Efecto neto instrumentos financieros ,(31) 
Pasivos acumulados ,399 
Otros ,328 
Total Banco ,256 (1) 
Efecto neto reserva incobrables (subsidiarias) ,(293) 
Otros subsidiarias ,(64) 
Total impuesto diferido Banco consolidado ,(101) 
"Al 31 de marzo de 2021, el activo y pasivo diferido se encuentran registrados al 100% ",
Remanente reservas preventivas globales e incobrables ,"10,386 "
Otros ,"9,289 "
Total impuesto diferido (neto) ,"19,675 "
Impuesto diferido registrado en cuentas de balance ,"19,675 "
Impuesto diferido registrado en cuentas de orden ,0 
,


Table
Préstamos concertados con bancos del extranjero ,10 1.50 ,Hasta 1 día 
Call money ,266 0.05 ,De 1a3 días 
Fiduciarios públicos ,"1,861 1.08 ",De 1 día a 4 años 
Banca de desarrollo ,30 6.17 ,De 1a3 meses 
Total ,"2,167 ",
Total de financiamientos ,"42,669 ",
Intereses devengados ,156 ,
Total préstamos bancarios y de otros organismos ,"42,825 ",
,,


