Table
,,"no subsane dichas causales de revocación mediante (1) el cumplimiento de dichas medidas correctivas, (2)(i) la presentación de un plan de restauración de capital ante, y la aprobación de dicho plan por, la CNBV, (ii) que no sea clasificado en las categorías III, IV o V, y (iii) la transferencia de al menos el 75% (setenta y cinco por ciento) de sus acciones a un fideicomiso irrevocable, o (3) remediar cualquier deficiencia de capital, en cada caso, en o antes del tercer o séptimo día natural (en México), según sea aplicable, siguiente a la fecha en que la CNBV notifique a Banco Santander México respecto de su determinación. "
32 ,Profundidad de la pérdida de valor del Instrumento ,"""Monto de la Pérdida"" significa un (i) monto que pueda ser suficiente, en conjunto con cualquier reducción simultánea a pro-rata de cualquier otro instrumento de absorción de pérdida en circulación emitido por el Emisor, para regresar el Capital Básico Fundamental de Banco Santander México al nivel requeridos bajo la Sección IX, b), 2 del Anexo 1-S de las Reglas Generales Aplicables a Bancos Mexicanos, o (ii) de cualquier Reducción del Monto Principal Actual, en conjunto con cualquier reducción simultánea a pro-rata de cualquier otro instrumento de absorción de perdida en circulación emitido por el Emisor, que sería insuficiente para regresar el Capital Básico Fundamental de Banco Santander México a los niveles de Capital Básico Fundamental requeridos bajo la Sección IX, b), 2 del Anexo 1-S de las Reglas Generales Aplicables a Bancos Mexicanos, el monto necesario para reducir a cero el Monto Principal Actual de todos los Instrumentos referidos en circulación. "
33 ,Temporalidad de la baja de valor del Instrumento como consecuencia de una actualización del supuesto de pérdida de valor ,Permanente. 
34 ,Mecanismo de disminución temporal de valor ,N.A. 
35 ,Posición de subordinación en caso de liquidación ,"Los Instrumentos representan obligaciones generales, quirografarias y subordinadas de Banco Santander México. Los Instrumentos constituyen Obligaciones Subordinadas Preferentes y están (i) subordinados y supeditados en derecho de pago y liquidación a toda la Deuda Senior presentes o futuras de Banco Santander México, (ii) tienen la misma prioridad de pago y no habrá preferencia entre los mismos y con todas las demás Obligaciones Subordinadas Preferentes, quirografarias presentes o futuras de Banco Santander México y (iii) tienen prioridad de pago únicamente respecto de las Obligaciones Subordinadas No Preferentes y todas las clases de capital social de Banco Santander México. "
36 ,"Existen características que no cumplan con los anexos 1-Q, 1-R y 1-S ",No 
37 ,"Si afirmativo, ¿cuáles? ",N.A. 


Table
Referencia ,Característica ,Opciones 
1 ,Emisor ,"Banco Santander México, S. A., Institución de Banca Múltiple, Grupo Financiero Santander México. "
2 ,"Identificador ISIN, CUSIP o Bloomberg ",ISIN: US40053CAA36 CUSIP: 40053C AA3 Clave de Pizarra BMV: BSMX 17 


