Table
,VaR ,,
,(Miles de pesos) ,,% 
Mesas de Negociación ,,"145,620.75 ",0.10% 
Market Making ,,"44,472.62 ",0.03% 
Propietary Trading ,,"24,684.13 ",0.02% 
Factor de Riesgo ,,,
Tasa de Interés ,,"75,902.67 ",0.05% 
Tipo de Cambio ,,"133,208.29 ",0.10% 
Renta Variable ,,67.92 ,0.00% 


Table
,(Miles de pesos) ,,% 
Mesas de Negociación ,,"212,897.91 ",0.16% 
Market Making ,,"64,775.32 ",0.05% 
Propietary Trading ,,"36,940.94 ",0.03% 
Factor de Riesgo ,,,
Tasa de Interés ,,"133,241.60 ",0.10% 
Tipo de Cambio ,,"178,216.51 ",0.13% 
Renta Variable ,,771.45 ,0.00% 


