Table
Segmento ,abr-20 ,may-20 ,jun-20 ,Promedio 
"Riesgo Soberano, Banca de Desarrollo e Instituciones ",,,,
Financieras ,"19,235.34 ","21,573.26 ","22,619.92 ","21,142.84 "
Corporativos ,56.71 ,56.16 ,54.95 ,55.94 
Project Finance ,0.00 ,0.00 ,0.00 ,0.00 
Empresas ,0.02 ,0.01 ,0.00 ,0.01 


Table
Millones de dólares americanos ,,,,
Segmento ,abr-20 ,may-20 ,jun-20 ,Promedio 
"Riesgo Soberano, Banca de Desarrollo e Instituciones Financieras ",4.02 ,3.93 ,3.86 ,3.94 
Corporativos ,27.03 ,15.05 ,13.81 ,18.63 
Project Finance ,13.20 ,9.36 ,8.66 ,10.41 
Empresas ,11.47 ,7.93 ,7.46 ,8.95 


Table
Millones de dólares americanos ,,,,
Segmento ,abr-20 ,may-20 ,jun-20 ,Promedio 
"Riesgo Soberano, Banca de Desarrollo e Instituciones ",,,,
Financieras ,"1,292.68 ","1,059.80 ","1,034.98 ","1,129.15 "
Corporativos ,523.77 ,501.37 ,521.63 ,515.59 
Project Finance ,461.97 ,469.69 ,475.55 ,469.07 
Empresas ,361.05 ,357.93 ,358.12 ,359.03 


Table
Tipo de Derivado ,Porcentaje de Productos Cierre del segundo trimestre de 2020 
Derivados sobre tasas de interés ,38.22% 
Derivados sobre tipo de cambio ,61.66% 
Derivados sobre renta fija ,0.00% 
Derivados sobre acciones ,0.13% 
Total ,100.00% 


