Table
BSX UN Equity ,Boston Scientific Corp ,WEC UN Equity ,WEC Energy Group Inc ,MET UN Equity ,MetLife Inc 
BMY UN Equity ,Bristol-Myers Squibb Co ,XRX UN Equity ,Xerox Corp ,UA UN Equity ,Under Armour Inc 
,Fortune Brands ,,,,
FBHS UN Equity ,Home & Security Inc ,ADBE UW Equity ,Adobe Inc ,TPR UN Equity ,Tapestry Inc 
BF/B UN Equity ,Brown-Forman Corp ,AES UN Equity ,AES Corp/VA ,CSX UW Equity ,CSX Corp 
COG UN Equity ,Cabot Oil & Gas Corp ,AMGN UW Equity ,Amgen Inc ,EW UN Equity ,Edwards Lifesciences Corp 
CPB UN Equity ,Campbell Soup Co ,AAPL UW Equity ,Apple Inc ,AMP UN Equity ,Ameriprise Financial Inc 
KSU UN Equity ,Kansas City Southern Hilton ,ADSK UW Equity ,Autodesk Inc ,FTI UN Equity ,TechnipFMC PLC 
HLT UN Equity ,Worldwide Holdings Inc ,CTAS UW Equity ,Cintas Corp ,ZBH UN Equity ,Zimmer Biomet Holdings Inc 
CCL UN Equity ,Carnival Corp ,CMCSA UW Equity ,Comcast Corp ,CBRE UN Equity ,CBRE Group Inc 
QRVO UW Equity ,Qorvo Inc ,TAP UN Equity ,Molson Coors Brewing Co ,MA UN Equity ,Mastercard Inc 
CTL UN Equity ,CenturyLink Inc ,KLAC UW Equity ,KLA-Tencor Corp Marriott ,KMX UN Equity ,CarMax Inc 
UDR UN Equity ,UDR Inc ,MAR UW Equity ,International Inc/MD ,ICE UN Equity ,Intercontinental Exchange Inc 
CLX UN Equity ,Clorox Co/The ,MKC UN Equity ,McCormick & Co Inc/MD ,FIS UN Equity ,Fidelity National Information Services I 
CMS UN Equity ,CMS Energy Corp ,JWN UN Equity ,Nordstrom Inc ,CMG UN Equity ,Chipotle Mexican Grill Inc 
NWL UW Equity ,Newell Brands Inc ,PCAR UW Equity ,PACCAR Inc ,WYNN UW Equity ,Wynn Resorts Ltd 
CL UN Equity ,Colgate- Palmolive Co ,COST UW Equity ,Costco Wholesale Corp ,AIZ UN Equity ,Assurant Inc 
CMA UN Equity ,Comerica Inc ,FRC UN Equity ,First Republic Bank/CA ,NRG UN Equity ,NRG Energy Inc 
IPGP UW Equity ,IPG Photonics Corp ,SYK UN Equity ,Stryker Corp ,RF UN Equity ,Regions Financial Corp 
CAG UN Equity ,Conagra Brands Inc ,TSN UN Equity ,Tyson Foods Inc ,MNST UW Equity ,Monster Beverage Corp 
ED UN Equity ,Consolidated Edison Inc ,LW UN Equity ,Lamb Weston Holdings Inc ,MOS UN Equity ,Mosaic Co/The 
SLG UN Equity ,SL Green Realty Corp ,AMAT UW Equity ,Applied Materials Inc ,EXPE UW Equity ,Expedia Group Inc 
GLW UN Equity ,Corning Inc ,AAL UW Equity ,American Airlines Group Inc ,EVRG UN Equity ,Evergy Inc 
CMI UN Equity ,Cummins Inc ,CAH UN Equity ,Cardinal Health Inc ,DISCA UW Equity ,Discovery Inc 
DHR UN Equity ,Danaher Corp ,CELG UW Equity ,Celgene Corp ,CF UN Equity ,CF Industries Holdings Inc 
TGT UN Equity ,Target Corp ,CERN UW Equity ,Cerner Corp ,VIAB UW Equity ,Viacom Inc 
DE UN Equity ,Deere & Co ,CINF UW Equity ,Cincinnati Financial Corp ,GOOG UW Equity ,Alphabet Inc 
D UN Equity ,Dominion Energy Inc ,DHI UN Equity ,DR Horton Inc ,COO UN Equity ,Cooper Cos Inc/The 
DOV UN Equity ,Dover Corp ,FLS UN Equity ,Flowserve Corp ,TEL UN Equity ,TE Connectivity Ltd 


