Table
LNT UW Equity ,Alliant Energy Corp ,EA UW Equity ,Electronic Arts Inc ,DFS UN Equity ,Discover Financial Services 
DUK UN Equity ,Duke Energy Corp ,EXPD UW Equity ,Expeditors International of Washington I ,TRIP UW Equity ,TripAdvisor Inc 
REG UW Equity ,Regency Centers Corp ,FAST UW Equity ,Fastenal Co ,VUN Equity ,Visa Inc 
ETN UN Equity ,Eaton Corp PLC ,MTB UN Equity ,M&T Bank Corp ,MAA UN Equity ,Mid-America Apartment Communities Inc 
ECL UN Equity ,Ecolab Inc ,XEL UW Equity ,Xcel Energy Inc ,XYL UN Equity ,Xylem Inc/NY 
PKI UN Equity ,PerkinElmer Inc ,FISV UW Equity ,Fiserv Inc ,MPC UN Equity ,Marathon Petroleum Corp 
EMR UN Equity ,Emerson Electric Co ,FITB UW Equity ,Fifth Third Bancorp ,TSCO UW Equity ,Tractor Supply Co 
EOG UN Equity ,EOG Resources Inc ,GILD UW Equity ,Gilead Sciences Inc ,AMD UW Equity ,Advanced Micro Devices Inc 
ETR UN Equity ,Entergy Corp ,HAS UW Equity ,Hasbro Inc ,RMD UN Equity ,ResMed Inc 
EFX UN Equity ,Equifax Inc ,HBAN UW Equity ,Huntington Bancshares Inc/OH ,MTD UN Equity ,Mettler-Toledo International Inc 
IQV UN Equity ,IQVIA Holdings Inc ,WELL UN Equity ,Welltower Inc ,CPRT UW Equity ,Copart Inc 
IT UN Equity ,Gartner Inc ,BIIB UW Equity ,Biogen Inc ,ALB UN Equity ,Albemarle Corp 
FDX UN Equity ,FedEx Corp ,NTRS UW Equity ,Northern Trust Corp ,FTNT UW Equity ,Fortinet Inc 
M UN Equity ,Macy's Inc ,PKG UN Equity ,Packaging Corp of America ,ESS UN Equity ,Essex Property Trust Inc 
FMC UN Equity ,FMC Corp ,PAYX UW Equity ,Paychex Inc ,O UN Equity ,Realty Income Corp 
F UN Equity ,Ford Motor Co ,PBCT UW Equity ,People's United Financial Inc ,STX UW Equity ,Seagate Technology PLC 
NEE UN Equity ,NextEra Energy Inc ,QCOM UW Equity ,QUALCOMM Inc ,WRK UN Equity ,Westrock Co 
BEN UN Equity ,Franklin Resources Inc ,ROP UN Equity ,Roper Technologies Inc ,INFO UW Equity ,IHS Markit Ltd 
FCX UN Equity ,Freeport- McMoRan Inc ,ROST UW Equity ,Ross Stores Inc ,WAB UN Equity ,Wabtec Corp 
GPS UN Equity ,Gap Inc/The ,IDXX UW Equity ,IDEXX Laboratories Inc ,WDC UW Equity ,Western Digital Corp 
GD UN Equity ,General Dynamics Corp ,SBUX UW Equity ,Starbucks Corp ,PEP UW Equity ,PepsiCo Inc 
GIS UN Equity ,General Mills Inc ,KEY UN Equity ,KeyCorp ,FANG UW Equity ,Diamondback Energy Inc 
GPC UN Equity ,Genuine Parts Co ,FOXA UW Equity ,Fox Corp ,NKTR UW Equity ,Nektar Therapeutics 
ATO UN Equity ,Atmos Energy Corp ,FOX UW Equity ,Fox Corp ,MXIM UW Equity ,Maxim Integrated Products Inc 
GWW UN Equity ,WW Grainger Inc ,STT UN Equity ,State Street Corp ,CHD UN Equity ,Church & Dwight Co Inc 
HAL UN Equity ,Halliburton Co ,NCLH UN Equity ,Norwegian Cruise Line Holdings Ltd ,DRE UN Equity ,Duke Realty Corp 
HOG UN Equity ,Harley-Davidson Inc ,USB UN Equity ,US Bancorp ,FRT UN Equity ,Federal Realty Investment Trust 
LHX UN Equity ,L3Harris Technologies Inc ,AOS UN Equity ,AO Smith Corp ,MGM UN Equity ,MGM Resorts International 
HCP UN Equity ,HCP Inc ,SYMC UW Equity ,Symantec Corp ,JBHT UW Equity ,JB Hunt Transport Services Inc 


