Table
JEF UN Equity ,Jefferies Financial Group Inc ,PRU UN Equity ,Prudential Financial Inc ,CPRI UN Equity ,Capri Holdings Ltd 
LLY UN Equity ,Eli Lilly & Co ,UPS UN Equity ,United Parcel Service Inc Apartment ,ALGN UW Equity ,Align Technology Inc 
LB UN Equity ,L Brands Inc ,AIV UN Equity ,Investment & Management Co ,ILMN UW Equity ,Illumina Inc 
CHTR UW Equity ,Charter Communications Inc ,WBA UW Equity ,Walgreens Boots Alliance Inc ,ADS UN Equity ,Alliance Data Systems Corp 
LNC UN Equity ,Lincoln National Corp ,MCK UN Equity ,McKesson Corp ,LKQ UW Equity ,LKQ Corp 
L UN Equity ,Loews Corp ,LMT UN Equity ,Lockheed Martin Corp ,NLSN UN Equity ,Nielsen Holdings PLC 
LOW UN Equity ,Lowe's Cos Inc ,ABC UN Equity ,AmerisourceBergen Corp ,GRMN UW Equity ,Garmin Ltd 
HST UN Equity ,Host Hotels & Resorts Inc Marsh & ,COF UN Equity ,Capital One Financial Corp ,XEC UN Equity ,Cimarex Energy Co 
MMC UN Equity ,McLennan Cos Inc ,WAT UN Equity ,Waters Corp ,ZTS UN Equity ,Zoetis Inc 
MAS UN Equity ,Masco Corp ,DLTR UW Equity ,Dollar Tree Inc ,EQIX UW Equity ,Equinix Inc 
SPGI UN Equity ,S&P Global Inc ,DRI UN Equity ,Darden Restaurants Inc ,DLR UN Equity ,Digital Realty Trust Inc 
MDT UN Equity ,Medtronic PLC ,NTAP UW Equity ,NetApp Inc ,DISCK UW Equity ,Discovery Inc 
CVS UN Equity ,CVS Health Corp ,CTXS UW Equity ,Citrix Systems Inc ,,
DD UN Equity ,DuPont de Nemours Inc ,DXC UN Equity ,DXC Technology Co ,,


Table
,Precio ,Precio ,Volumen Promedio 
Periodo ,Mínimo ,Máximo ,(Títulos) 


