Table
Nivel de Mercado ,Valor Observado ,Pago de Derechos 
"2,379.44 ",70 ,100.00 
"2,447.42 ",72 ,100.00 
"2,515.41 ",74 ,100.00 
"2,583.39 ",76 ,100.00 
"2,651.38 ",78 ,100.00 
"2,719.36 ",80 ,100.00 
"2,787.34 ",82 ,100.00 
"2,855.33 ",84 ,100.00 
"2,923.31 ",86 ,100.00 
"2,991.30 ",88 ,100.00 
"3,059.28 ",90 ,100.00 
"3,127.26 ",92 ,100.00 
"3,195.25 ",94 ,100.00 
"3,263.23 ",96 ,100.00 
"3,331.22 ",98 ,100.00 
"3,399.20 ",100 ,100.00 
"3,467.18 ",102 ,106.22 
"3,535.17 ",104 ,112.44 
"3,603.15 ",106 ,118.66 
"3,671.14 ",108 ,124.88 
"3,739.12 ",110 ,131.10 
"3,807.10 ",112 ,137.32 
"3,875.09 ",114 ,143.54 
"3,943.07 ",116 ,146.65 
"4,011.06 ",118 ,146.65 
"4,079.04 ",120 ,146.65 
"4,147.02 ",122 ,146.65 
"4,215.01 ",124 ,146.65 


