Table
Nivel de Mercado ,Valor Observado ,Fechas de Observación 1 a 3 ,Fechas de Ejercicio 1 a 3 ,Fecha de Ejercicio 4 
- ,0 ,0.00 ,0.00 ,Ps.70.00 
9.08 ,5 ,0.00 ,0.00 ,Ps.70.00 
18.16 ,10 ,0.00 ,0.00 ,Ps.70.00 
27.24 ,15 ,0.00 ,0.00 ,Ps.70.00 
36.31 ,20 ,0.00 ,0.00 ,Ps.70.00 
45.39 ,25 ,0.00 ,0.00 ,Ps.70.00 
54.47 ,30 ,0.00 ,0.00 ,Ps.70.00 
63.55 ,35 ,0.00 ,0.00 ,Ps.70.00 
72.63 ,40 ,0.00 ,0.00 ,Ps.70.00 
81.71 ,45 ,0.00 ,0.00 ,Ps.70.00 
90.79 ,50 ,0.00 ,0.00 ,Ps.70.00 
99.86 ,55 ,0.00 ,0.00 ,Ps.70.00 
108.94 ,60 ,0.00 ,0.00 ,Ps. 70.00 
118.02 ,65 ,0.00 ,0.00 ,Ps. 75.00 


