Table
Nivel de mercado ,Valor Observado (vo) ,Pago de Derechos a vencimiento 
- ,- ,Ps.90.00 
1.14 ,3.00 ,Ps.90.00 
2.28 ,6.00 ,Ps.90.00 
3.42 ,9.00 ,Ps.90.00 
4.56 ,12.00 ,Ps.90.00 
5.70 ,15.00 ,Ps.90.00 
6.84 ,18.00 ,Ps.90.00 
7.98 ,21.00 ,Ps.90.00 
9.12 ,24.00 ,Ps.90.00 
10.26 ,27.00 ,Ps.90.00 
11.40 ,30.00 ,Ps.90.00 
12.54 ,33.00 ,Ps.90.00 
13.68 ,36.00 ,Ps.90.00 
14.82 ,39.00 ,Ps.90.00 
15.96 ,42.00 ,Ps.90.00 
17.10 ,45.00 ,Ps.90.00 
18.24 ,48.00 ,Ps.90.00 
19.38 ,51.00 ,Ps.90.00 
20.52 ,54.00 ,Ps.90.00 
21.66 ,57.00 ,Ps.90.00 
22.80 ,60.00 ,Ps.90.00 
23.94 ,63.00 ,Ps.90.00 
25.08 ,66.00 ,Ps.90.00 
26.22 ,69.00 ,Ps.90.00 
27.36 ,72.00 ,Ps.90.00 
28.50 ,75.00 ,Ps.90.00 
29.64 ,78.00 ,Ps.90.00 
30.78 ,81.00 ,Ps.90.00 
31.92 ,84.00 ,Ps.90.00 
33.06 ,87.00 ,Ps.90.00 
34.20 ,90.00 ,Ps.90.00 
35.34 ,93.00 ,Ps.93.00 
36.48 ,96.00 ,Ps.96.00 
37.62 ,99.00 ,Ps.99.00 
38.76 ,102.00 ,Ps.102.00 
39.90 ,105.00 ,Ps.105.00 
41.04 ,108.00 ,Ps.108.00 
42.18 ,111.00 ,Ps.111.00 
43.32 ,114.00 ,Ps.114.00 
44.46 ,117.00 ,Ps.117.00 
45.60 ,120.00 ,Ps.120.00 
46.74 ,123.00 ,Ps.123.00 


