Table
,Jun-20 ,% ,Mar-20 ,% ,Jun-19 ,% 
Cartera vigente ,,,,,,
Comercial ,"472,748 ",62.9 ,"498,956 ",64.3 ,"434,438 ",62.0 
Individuos ,"259,627 ",34.6 ,"260,086 ",33.5 ,"250,260 ",35.7 
Consumo ,"108,292 ",14.4 ,"111,592 ",14.4 ,"110,226 ",15.7 
Tarjeta de crédito ,"51,628 ",6.9 ,"55,236 ",7.1 ,"54,950 ",7.8 
Otros Consumo ,"56,664 ",7.5 ,"56,356 ",7.3 ,"55,276 ",7.9 
Hipotecario ,"151,335 ",20.1 ,"148,494 ",19.1 ,"140,034 ",20.0 
Subtotal vigente ,"732,375 ",97.5 ,"759,042 ",97.8 ,"684,698 ",97.8 
Cartera Vencida ,,,,,,
Comercial ,"6,700 ",0.9 ,"5,728 ",0.7 ,"5,545 ",0.8 
Individuos ,"12,144 ",1.6 ,"11,039 ",1.4 ,"10,086 ",1.4 
Consumo ,"4,700 ",0.6 ,"4,319 ",0.6 ,"4,469 ",0.6 
Tarjeta de crédito ,"2,614 ",0.3 ,"2,388 ",0.3 ,"2,526 ",0.4 
Otros Consumo ,"2,086 ",0.3 ,"1,931 ",0.2 ,"1,943 ",0.3 
Hipotecario ,"7,444 ",1.0 ,"6,720 ",0.9 ,"5,617 ",0.8 
Subtotal vencida ,"18,844 ",2.5 ,"16,767 ",2.2 ,"15,631 ",2.2 
Total cartera de crédito ,,,,,,
Comercial ,"479,448 ",63.8 ,"504,684 ",65.1 ,"439,983 ",62.8 
Individuos ,"271,771 ",36.2 ,"271,125 ",34.9 ,"260,346 ",37.2 
Consumo ,"112,992 ",15.0 ,"115,911 ",14.9 ,"114,695 ",16.4 
Tarjeta de crédito ,"54,242 ",7.2 ,"57,624 ",7.4 ,"57,476 ",8.2 
Otros Consumo ,"58,750 ",7.8 ,"58,287 ",7.5 ,"57,219 ",8.2 
Hipotecario ,"158,779 ",21.1 ,"155,214 ",20.0 ,"145,651 ",20.8 
Total cartera de crédito ,"751,219 ",100.0 ,"775,809 ",100.0 ,"700,329 ",100.0 


