Table
,2T19 ,3T19 ,4T19 ,1T20 ,2T20 
Depósitos de exigibilidad inmediata ,40.9 ,42.2 ,37.7 ,37.3 ,37.7 
Depósitos a plazo ,25.9 ,26.5 ,24.2 ,24.4 ,25.4 
Reportos ,19.4 ,18.3 ,26.4 ,26.9 ,21.6 
Préstamos bancarios y de otros organismos ,6.1 ,5.2 ,4.7 ,4.6 ,6.3 
Titulos de crédito emitidos ,5.2 ,5.3 ,4.8 ,4.5 ,6.6 
Obligaciones subordinadas ,2.5 ,2.5 ,2.2 ,2.3 ,2.4 
Total ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 


Table
del crédito ,- ,127 ,- ,0 ,155 ,- ,- ,(18.1) ,- 
Reportos y préstamo de valores ,"81,179 ","1,196 ",5.83 ,"99,349 ","2,076 ",10.44 ,(18.3) ,(42.4) ,(461) 
Ingresos por intereses ,"1,423,671 ","29,383 ",8.16 ,"1,151,592 ","30,556 ",10.45 ,23.6 ,(3.8) ,(229) 


