Table
,,,,Variación ,(pb) ,,,Variación (pb) 
,2T20 ,1T20 ,2T19 ,TaT ,AaA ,6M20 ,6M19 ,AaA 
Comercial ,1.36 ,1.10 ,1.20 ,26 ,16 ,1.36 ,1.20 ,16 
Consumo ,10.17 ,10.55 ,10.74 ,(38) ,(57) ,10.17 ,10.74 ,(57) 
Hipotecario ,1.30 ,1.23 ,0.92 ,7 ,38 ,1.30 ,0.92 ,38 
Total ,3.14¹ ,2.65 ,2.70 ,49 ,44 ,3.14¹ ,2.70 ,44 


Table
Millones de ,pesos ,,,% Variación ,,,,% Variación 
,2T20 ,1T20 ,2T19 ,TaT ,AaA ,6M20 ,6M19 ,AaA 
Comercial ,"2,561 ",784 ,"1,276 ",226.8 ,100.7 ,"3,345¹ ","2,345 ",42.6 
Consumo ,"2,571 ","3,171 ","2,985 ",(18.9) ,(13.9) ,"5,742 ","6,075 ",(5.5) 
Hipotecario ,342 ,"1,210 ",193 ,(71.7) ,77.2 ,"1,552 ",352 ,341.0 
Reservas ,,,,,,,,
adicionales ,"2,876 ",0 ,0 ,- ,- ,"2,876 ",0 ,- 
Total ,"8,350 ","5,165 ","4,454 ",61.7 ,87.5 ,"13,515 ","8,772 ",54.1 


