Table
Millones de pesos ,,,,% Variación ,,,,% Variación 
,2T20 ,1T20 ,2T19 ,TaT ,AaA ,6M20 ,6M19 ,20/19 
Remuneraciones y prestaciones al ,,,,,,,,
personal ,"3,555 ","3,922 ","3,978 ",(9.4) ,(10.6) ,"7,477 ","7,843 ",(4.7) 
Tarjeta de crédito ,57 ,49 ,89 ,16.3 ,(36.0) ,106 ,167 ,(36.5) 
Honorarios profesionales ,245 ,162 ,81 ,51.2 ,202.5 ,407 ,170 ,139.4 
Rentas ,659 ,650 ,620 ,1.4 ,6.3 ,"1,309 ","1,217 ",7.6 
Gastos de promoción y publicidad ,205 ,215 ,216 ,(4.7) ,(5.1) ,420 ,467 ,(10.1) 
Impuestos y derechos ,494 ,699 ,504 ,(29.3) ,(2.0) ,"1,193 ",988 ,20.7 
Gastos de tecnología ,"1,181 ","1,025 ",808 ,15.2 ,46.2 ,"2,206 ","1,747 ",26.3 
Depreciaciones y amortizaciones ,993 ,"1,015 ",948 ,(2.2) ,4.7 ,"2,008 ","1,826 ",10.0 
Aportaciones al IPAB ,"1,049 ",834 ,848 ,25.8 ,23.7 ,"1,883 ","1,660 ",13.4 
Traslado de valores ,227 ,360 ,323 ,(36.9) ,(29.7) ,587 ,646 ,(9.1) 
Otros ,934 ,854 ,"1,067 ",9.4 ,(12.5) ,"1,788 ","2,007 ",(10.9) 
,,,,,,,,
Total ,"9,599 ","9,785 ","9,482 ",(1.9) ,1.2 ,"19,384 ","18,738 ",3.4 


Table
,2T20 ,1T20 ,2T19 ,6M20 ,6M19 
Personal ,37.0 ,40.1 ,42.0 ,38.6 ,41.9 
Gastos de tecnología ,12.3 ,10.5 ,8.5 ,11.4 ,9.3 
IPAB ,10.9 ,8.5 ,8.9 ,9.7 ,8.9 
Depreciación y amortización ,10.3 ,10.4 ,10.0 ,10.4 ,9.7 
Otros ,9.7 ,8.7 ,11.3 ,9.2 ,10.7 
Rentas ,6.9 ,6.6 ,6.5 ,6.8 ,6.5 
Impuestos y derechos ,5.2 ,7.1 ,5.3 ,6.2 ,5.3 
Honorarios profesionales ,2.6 ,1.7 ,0.9 ,2.1 ,0.9 
Traslado de valores ,2.4 ,3.7 ,3.4 ,3.0 ,3.4 
Gastos de promoción y publicidad ,2.1 ,2.2 ,2.3 ,2.2 ,2.5 
Tarjeta de crédito ,0.6 ,0.5 ,0.9 ,0.4 ,0.9 
Total ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 


