Table
Millones de pesos ,Jun-20 ,Mar-20 ,Jun-19 
Capital fundamental ,"96,915 ","90,288 ","90,145 "
Capital básico ,"108,451 ","102,020 ","99,735 "
Capital complementario ,"30,507 ","30,487 ","25,296 "
Total capital ,"138,958 ","132,507 ","125,031 "
Activos en riesgo ,,,
Riesgos de crédito ,"545,833 ","539,806 ","537,963 "
"Riesgos de crédito, mercado y operacional ","832,610 ","816,199 ","757,894 "
Riesgos de crédito: ,,,
Capital Fundamental (CET1) (%) ,17.76 ,16.73 ,16.76 
Capital Básico (Tier1) ,19.87 ,18.90 ,18.54 
Capital Complementario (Tier2) (%) ,5.59 ,5.65 ,4.70 
Índice de capitalización (%) ,25.46 ,24.55 ,23.24 
Riesgos totales: ,,,
Capital Fundamental (CET1) (%) ,11.64 ,11.06 ,11.89 
Capital Básico (Tier 1) ,13.03 ,12.50 ,13.16 
Capital Complementario (Tier2) (%) ,3.66 ,3.73 ,3.34 
Índice de capitalización (%) ,16.69 ,16.23 ,16.50 


