Table
Banco Santander México ,Fitch Ratings ,Moody's 
Notas Senior con vencimiento en 2022 ,BBB+ ,Baal 
"Obligaciones subordinadas, no preferentes, perpetuas y susceptibles de ser convertidas en acciones (AT1) ",,
Escala global ,,
Moneda extranjera ,,
Largo plazo ,BB+ ,Bal (hyb) 
Moneda nacional ,,
Largo plazo ,N/A ,Ba1 (hyb) 
Escala nacional ,,
Largo plazo ,N/A ,A1.mx (hyb) 


Table
Santander Vivienda ,HR Ratings 
Escala nacional ,
Largo plazo ,HR AAA 
Corto plazo ,HR +1 
Perspectiva ,Estable 


Table
Santander Consumo ,Fitch Ratings 
Escala nacional ,
Largo plazo ,AAA (mex) 
Corto plazo ,F1 (mex) 
Perspectiva ,Estable 


