Table
Millones de pesos ,30 ,de junio del 2020 ,,30 ,de junio del 2019 ,
,Banca Comercial ,Banca Corporativa y de Inversión ,Actividades Corporativas ,Banca Comercial ,Banca Corporativa y de Inversión ,Actividades Corporativas 
Activo ,,,,,,
Disponibilidades ,"39,465 ","37,175 ","9,018 ","48,829 ","5,965 ","18,398 "
Cuentas margen ,0 ,"4,638 ",0 ,0 ,"3,826 ",0 
Inversiones en valores ,0 ,"171,569 ","369,369 ",0 ,"91,604 ","190,574 "
Deudores por reporto ,0 ,"36,848 ",0 ,0 ,"67,889 ",0 
Derivados ,0 ,"376,412 ","9,092 ",0 ,"139,902 ","7,186 "
Ajuste de valuación por cobertura de activos financieros ,0 ,0 ,421 ,0 ,0 ,152 
Total cartera de crédito ,"615,808 ","135,411 ",0 ,"576,290 ","124,039 ",0 
Estimación preventiva para riesgos crediticios ,"(23,245) ","(2,912) ",0 ,"(18,995) ","(2,350) ",0 
Cartera de crédito (neto) ,"592,563 ","132,499 ",0 ,"557,295 ","121,689 ",0 
Beneficio por recibir en operaciones de bursatilización ,0 ,0 ,155 ,0 ,0 ,84 
Otras cuentas por cobrar (neto) ,200 ,"93,446 ","14,322 ",222 ,"56,811 ","20,912 "
Bienes adjudicados (neto) ,136 ,0 ,0 ,232 ,0 ,0 
"Propiedades, mobiliario y ","8,606 ","1,450 ",129 ,,,
equipo (neto) ,,,,"7,650 ","1,290 ",114 
Inversiones permanentes ,0 ,0 ,913 ,0 ,0 ,90 
Impuestos y participación de los ,,,,,,
trabajadores en las utilidades ,0 ,0 ,"21,560 ",,,
diferidos (neto) ,,,,0 ,0 ,"18,901 "
Otros activos a corto y largo ,"1,830 ","1,411 ","6,123 ",,,
plazo ,,,,"1,648 ","1,292 ","5,632 "
Total activo ,"642,800 ","855,448 ","431,102 ","615,876 ","490,268 ","262,043 "
Pasivos ,,,,,,
Captación ,"619,002 ","122,863 ","47,875 ","561,680 ","115,740 ","43,868 "
Títulos de crédito emitidos ,0 ,"3,458 ","87,292 ",0 ,"2,979 ","51,739 "
Préstamos bancarios y de otros ,,,,"17,522 ","1,077 ","49,490 "
organismos ,"12,584 ","29,994 ","30,800 ",,,
Acreedores por reporto ,"8,431 ","259,531 ",0 ,"8,803 ","75,865 ",0 
Préstamo de valores ,0 ,0 ,0 ,0 ,1 ,0 
Colaterales vendidos o dados en ,,,,0 ,"21,211 ",0 
garantía ,0 ,"15,411 ",0 ,,,
Derivados ,0 ,"371,702 ","27,323 ",0 ,"136,778 ","8,088 "
Ajuste de valuación por ,,,,0 ,0 ,(12) 
cobertura de pasivos financieros ,0 ,0 ,4 ,,,
Otras cuentas por pagar ,"29,654 ","72,077 ","2,750 ","36,698 ","64,444 ","3,113 "
Obligaciones subordinadas en ,,,,0 ,0 ,
circulacion ,0 ,0 ,"41,957 ",,,"34,886 "
Créditos diferidos y cobros ,,,,,,
anticipados ,106 ,0 ,0 ,388 ,0 ,0 
Total pasivo ,"669,777 ","875,036 ","238,001 ","625,091 ","418,095 ","191,172 "
Total capital contable ,"57,932 ","31,267 ","57,337 ","64,063 ","24,913 ","44,853 "
Total pasivo y capital contable ,"727,709 ","906,303 ","295,338 ","689,154 ","443,008 ","236,025 "


