Table
Millones de pesos ,,6M20 ,,,6M19 ,
,Banca Comercial ,Banca Corporativa y de Inversión ,Actividades Corporativas ,Banca Comercial ,Banca Corporativa y de Inversión ,Actividades Corporativas 
,,,,,,
Margen financiero ,"29,901 ","2,837 ",89 ,"28,819 ","3,926 ",292 
Estimación preventiva para riesgos crediticios ,"(13,315) ",(200) ,0 ,"(8,817) ",45 ,0 
Margen financiero ajustado por riesgos crediticios ,"16,586 ","2,637 ",89 ,"20,002 ","3,971 ",292 
Comisiones y tarifas (neto) ,"8,101 ","1,207 ",(13) ,"8,319 ",801 ,3 
Resultado por intermediación ,595 ,"2,149 ","1,422 ",619 ,204 ,73 
Otros ingresos de la operación ,(738) ,37 ,257 ,"(1,077) ",8 ,78 
Gastos de administración y promoción ,"(16,505) ","(2,381) ",(498) ,"(16,316) ","(2,245) ",(177) 
Resultado de la operación ,"8,039 ","3,649 ","1,257 ","11,547 ","2,739 ",269 


