Table
,Valor Contable 
Títulos para negociar: ,
Valores bancarios ,"7,380 "
Valores gubernamentales ,"163,944 "
Acciones ,"4,415 "
,"175,739 "
Títulos disponibles para la venta: ,
Valores gubernamentales ,"348,044 "
Valores privados ,"5,279 "
Acciones ,655 
,"353,978 "
Títulos conservados a vencimiento: ,
Valores gubernamentales ,"7,800 "
Cetes Especiales ,"3,421 "
,"11,221 "
Total ,"540,938 "


Table
La cartera de reporto se integra como sigue: ,
,Saldo neto de reportos 
Saldos deudores ,
Valores bancarios ,"3,298 "
Valores gubernamentales ,"33,550 "
Total ,"36,848 "
Saldos acreedores ,
Valores bancarios ,"4,288 "
Valores gubernamentales ,"260,220 "
Valores privados ,"3,454 "
Total ,"267,962 "
,"(231,114) "


