Table
,,,,"Intangibles que se reconocen en el pasivo 1,722 "
3 ,Impuesto a la utilidad diferida (a favor) proveniente de pérdidas y créditos fiscales ,10 ,0 ,
4 ,Beneficios sobre el remanente en operaciones de burzatilización ,13 ,0 ,
5 ,Inversiones del plan de pensiones por beneficios definidos sin acceso irrestricto e ilimitado ,15 ,0 ,
6 ,Inversiones en acciones de la propia institución ,16 ,14 ,"BG3= 540,895 Menos: Inversiones indirectas en el capital de entidades financieras 389; Inversiones en valores que computan como activos en riesgo 540,491 "
7 ,Inversiones recíprocas en el capital ordinario ,17 ,0 ,
8 ,Inversiones directas en el capital de entidades financieras donde la Institución no posea más del 10% del capital social emitido ,18 ,0 ,
9 ,Inversiones indirectas en el capital de entidades financieras donde la Institución no posea más del 10% del capital social emitido ,18 ,389 ,"BG3= = 540,895 Menos: Inversiones en acciones de la propia institución 14; Inversiones en valores que computan como activos en riesgo 540,491 "
10 ,Inversiones directas en el capital de entidades financieras donde la Institución posea más del 10% del capital social emitido ,19 ,0 ,
11 ,Inversiones indirectas en el capital de entidades financieras donde la Institución posea más del 10% del capital social emitido ,19 ,,


