Table
Segmento ,abr-21 ,may-21 ,jun-21 ,Promedio 
"Riesgo Soberano, Banca de Desarrollo e ",,,,
Instituciones Financieras ,"26,636 ","26,046 ","20,997 ","24,560 "
Corporativos ,67 ,63 ,64 ,65 
Project Finance ,0 ,0 ,0 ,0 
Empresas ,0 ,0 ,0 ,0 


Table
Segmento ,abr-21 ,may-21 ,jun-21 ,Promedio 
"Riesgo Soberano, Banca de Desarrollo e ",,,,
Instituciones Financieras ,981 ,966 ,765 ,904 
Corporativos ,465 ,456 ,425 ,449 
Project Finance ,309 ,308 ,294 ,304 
Empresas ,222 ,221 ,182 ,208 


Table
Segmento ,abr-21 ,may-21 ,jun-21 ,Promedio 
"Riesgo Soberano, Banca de Desarrollo e ",,,,
Instituciones Financieras ,"25,737 ","21,582 ","16,119 ","21,146 "
Corporativos ,(339) ,(318) ,(332) ,(330) 
Project Finance ,189 ,195 ,175 ,186 
Empresas ,91 ,85 ,33 ,70 


Table
Segmento ,abr-21 ,may-21 ,jun-21 ,Promedio 
"Riesgo Soberano, Banca de Desarrollo e ",,,,
Instituciones Financieras ,6.1 ,6.1 ,6.1 ,6.1 
Corporativos ,6.0 ,6.1 ,6.2 ,6.1 
Project Finance ,5.4 ,5.5 ,5.4 ,5.4 
Empresas ,5.2 ,5.2 ,5.2 ,5.2 


