Table
Emisora ,Clave de pizarra 
"Amazon.com, Inc. ",AMZN* 
Alibaba Group Holding Limited ,BABA N 
The Boeing Company ,BA* 
Booking Holdings Inc. ,BKNG* 
CVS Health Corporation ,CVS* 
"Facebook, Inc. ",FB* 
iShares China Large-Cap ETF ,FXI* 
iShares Global Energy ETF ,ICLN* 
Intel Corporaton ,INTC* 
Spotify Technology S.A. ,SPOT N 
The Coca-Cola Company ,KO* 
MercadoLibre Inc. ,MELI* 
Microsoft Corporation ,MSFT* 
NVIDIA Corporation ,NVDA* 
"Paypal Holdings, Inc. ",PYPL* 
"Tesla Motors, Inc. ",TSLA* 
Materials Select Sector SPDR ,XLB* 
Energy Select Sector SPDR ,XLE* 
Health Care Sector SPDR ,XLV* 


