Table
Periodo ,Precio mínimo ,Precio máximo ,Volumen promedio (títulos) 
2016 ,114.00 ,133.28 ,"20,114,211.89 "
2017 ,115.05 ,183.03 ,"16,674,596.54 "
2018 ,124.06 ,217.50 ,"27,262,166.58 "
2019 ,131.09 ,208.10 ,"16,094,515.08 "
2020 ,146.01 ,303.91 ,"22,624,224.43 "
2° Sem. 2019 ,174.60 ,208.10 ,"13,950,083.22 "
1° Sem. 2020 ,146.01 ,242.24 ,"23,485,350.38 "
2° Sem. 2020 ,230.12 ,303.91 ,"21,772,458.53 "
1° Sem. 2021 ,245.64 ,355.64 ,"19,164,221.18 "
enero 2021 ,245.64 ,282.05 ,"22,837,847.81 "
febrero 2021 ,254.69 ,273.97 ,"16,945,027.89 "
marzo 2021 ,255.31 ,294.53 ,"22,755,329.39 "
abril 2021 ,296.52 ,329.51 ,"18,911,426.73 "
mayo 2021 ,302.55 ,332.75 ,"17,410,424.39 "
junio 2021 ,326.04 ,355.64 ,"15,793,626.70 "


Table
75.85 ,89.70 ,0.58 ,0.00 ,Ps. 100.58 
80.08 ,94.70 ,0.58 ,0.00 ,Ps. 100.58 
84.31 ,99.70 ,0.58 ,0.00 ,Ps. 100.58 
88.53 ,104.70 ,0.00 ,100.58 ,Ps. 100.58 
92.76 ,109.70 ,0.00 ,100.58 ,Ps. 100.58 
96.99 ,114.70 ,0.00 ,100.58 ,Ps. 100.58 
101.22 ,119.70 ,0.00 ,100.58 ,Ps. 100.58 
105.45 ,124.70 ,0.00 ,100.58 ,Ps. 100.58 
109.67 ,129.70 ,0.00 ,100.58 ,Ps. 100.58 
113.90 ,134.70 ,0.00 ,100.58 ,Ps. 100.58 
118.13 ,139.70 ,0.00 ,100.58 ,Ps. 100.58 


