Table
Valor observado ,Nivel de mercado ,Pago de Derechos 
0.00 ,0.00 ,Ps. 90.00 
5.00 ,1.16 ,Ps. 90.00 
10.00 ,2.32 ,Ps. 90.00 
15.00 ,3.49 ,Ps. 90.00 
20.00 ,4.65 ,Ps. 90.00 
25.00 ,5.81 ,Ps. .90.00 
30.00 ,6.97 ,Ps. .90.00 
35.00 ,8.13 ,Ps. 90.00 
40.00 ,9.30 ,Ps. 90.00 
45.00 ,10.46 ,Ps. 90.00 
50.00 ,11.62 ,Ps. 90.00 
55.00 ,12.78 ,Ps. 90.00 
60.00 ,13.94 ,Ps. 90.00 
65.00 ,15.11 ,Ps. 90.00 
70.00 ,16.27 ,Ps. 90.00 
75.00 ,17.43 ,Ps. 90.00 
80.00 ,18.59 ,Ps. 90.00 
85.00 ,19.75 ,Ps. 90.00 
89.00 ,20.68 ,Ps. 90.00 
95.00 ,22.08 ,Ps. 95.00 
100.00 ,23.24 ,Ps. 100.00 
101.00 ,23.47 ,Ps. 100.00 
102.00 ,23.70 ,Ps. 100.00 
102.50 ,23.82 ,Ps. 100.00 
103.00 ,23.94 ,Ps. 100.68 
110.00 ,25.56 ,Ps. 110.20 
111.00 ,25.80 ,Ps. 111.56 
116.01 ,26.96 ,Ps. 118.37 
132.01 ,30.68 ,Ps. 140.13 
132.50 ,30.79 ,Ps. 114.00 
133.01 ,30.91 ,Ps. 114.00 
134.01 ,31.14 ,Ps. 114.00 
135.01 ,31.38 ,Ps. 114.00 


