Table
Millones de pesos ,,,,,,
,Jun-21 ,% ,Mar-21 ,% ,Jun-20 ,% 
Cartera vigente Comercial ,"405,407 ",57.1 ,"416,942 ",58.4 ,"472,748 ",62.9 
Individuos ,"284,515 ",40.1 ,"276,287 ",38.7 ,"259,627 ",34.6 
Consumo ,"110,756 ",15.6 ,"107,758 ",15.1 ,"108,292 ",14.4 
Tarjeta de crédito ,"48,339 ",6.8 ,"47,641 ",6.7 ,"51,628 ",6.9 
Otros Consumo ,"62,417 ",8.8 ,"60,117 ",8.4 ,"56,664 ",7.5 
Hipotecario ,"173,759 ",24.5 ,"168,529 ",23.6 ,"151,335 ",20.1 
Subtotal vigente ,"689,922 ",97.1 ,"693,229 ",97.1 ,"732,375 ",97.5 
Cartera Vencida ,,,,,,
Comercial ,"6,673 ",0.9 ,"6,503 ",0.9 ,"6,700 ",0.9 
Individuos ,"13,728 ",1.9 ,"14,257 ",2.0 ,"12,144 ",1.6 
Consumo ,"4,835 ",0.7 ,"5,536 ",0.8 ,"4,700 ",0.6 
Tarjeta de crédito ,"2,650 ",0.4 ,"3,166 ",0.4 ,"2,614 ",0.3 
Otros Consumo ,"2,185 ",0.3 ,"2,370 ",0.3 ,"2,086 ",0.3 
Hipotecario ,"8,893 ",1.3 ,"8,721 ",1.2 ,"7,444 ",1.0 
Subtotal vencida ,"20,401 ",2.9 ,"20,760 ",2.9 ,"18,844 ",2.5 
Total cartera de crédito ,,,,,,
Comercial ,"412,080 ",58.0 ,"423,445 ",59.3 ,"479,448 ",63.8 
Individuos ,"298,243 ",42.0 ,"290,544 ",40.7 ,"271,771 ",36.2 
Consumo ,"115,591 ",16.3 ,"113,294 ",15.9 ,"112,992 ",15.0 
Tarjeta de crédito ,"50,989 ",7.2 ,"50,807 ",7.1 ,"54,242 ",7.2 
Otros Consumo ,"64,602 ",9.1 ,"62,487 ",8.8 ,"58,750 ",7.8 
Hipotecario ,"182,652 ",25.7 ,"177,250 ",24.8 ,"158,779 ",21.1 
Total cartera de crédito ,"710,323 ",100.0 ,"713,989 ",100.0 ,"751,219 ",100.0 


